Question	Which is a quick process that can form new land near an ocean?	question
Answer	volcano erupting	answer
0	a volcanic eruption is a kind of quick process	gold
1	new land can be formed by volcanoes erupting by lava cooling	gold
2	volcanoes are often found under oceans	gold
3	near means close	nongold
4	an ocean is a kind of body of water	nongold
5	a volcanic eruption is a kind of change	nongold
6	a volcano is a source of magma; lava	nongold
7	near means local	nongold
8	sea means ocean	nongold
9	oceans are located on Earth	nongold
10	to cause the formation of means to form	nongold
11	to form means to create	nongold
12	a volcano is a kind of geological event	nongold
13	near; close is the opposite of far; away	nongold
14	the formation of something is a kind of process	nongold
15	a volcano is a kind of landform	nongold
16	form means kind	nongold
17	volcanic eruptions early on Earth maybe caused a large proportion of the matter in hydrosphere	nongold
18	to make means to form	nongold
19	land is a kind of environment	nongold
20	volcanoes are most common along tectonic plate boundaries	nongold
21	an erupting volcano releases sulfur gas and ash into the atmosphere	nongold
22	to be made of something means to be formed of that something	nongold
23	a process is a kind of event	nongold
24	a continent is a kind of location	nongold
25	an island is formed by lava being released; cooling on the ocean floor over time	nongold
26	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
27	to change into means to form	nongold
28	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
29	breaking down is a kind of forming	nongold
30	an earthquake is a kind of natural; geological event	nongold
31	high is similar to increase	nongold
32	the movement of tectonic plates causes volcanic eruptions	nongold
33	an ocean is a kind of habitat	nongold
34	forming something is a kind of change	nongold
35	intense means extreme	nongold
36	fast means quickly	nongold
37	an ocean contains waves	nongold
38	a continent is a kind of large land mass	nongold
39	extreme means very high in value	nongold
40	place means area	nongold
41	oceans contains most of  earth's water	nongold
42	exploding is similar to explosion	nongold
43	a shore is the land found at the edge of a body of water	nongold
44	magma is a kind of hot rock	nongold
45	to happen means to occur	nongold
46	buildup means increase	nongold
47	to increase is similar to to create	nongold
48	quickly means in a short period of time	nongold
49	to add means to increase	nongold
50	state means form	nongold
51	to generate means to form	nongold
52	usually something can be found  near a source in greater concentrations	nongold
53	develop is similar to form	nongold
54	to be formed by is similar to being produced by	nongold
55	creating is similar to causing	nongold
56	if something is made of something else then the formation of that something requires that something else	nongold
57	to be formed by is to be the result of	nongold
58	an environment is a kind of place	nongold
59	if something required by something else is in a place then that something else may be in that place	nongold
60	if something causes a process then that something is required for that process	nongold
61	change is a kind of process	nongold
62	low is similar to decrease	nongold
63	the formation of rock is a kind of process	nongold
64	oceans are the source of most of water vapor in the atmosphere	nongold
65	storms;rain cause bodies of water to increase amount of water they contain	nongold
66	located means situated	nongold
67	becoming is similar to forming	nongold
68	proximity means distance	nongold
69	process is similar to method	nongold
70	forming is similar to converting	nongold
71	land is a kind of landform	nongold
72	events occur at a specific place; at a specific time; with a specific frequency	nongold
73	a coast is where land meets the edge of a body of water	nongold
74	a volcano changes the environment around it by covering the environment in ash	nongold
75	rapidly means quickly	nongold
76	oceans cover 70% of the surface of the earth	nongold
77	can be means able to be	nongold
78	to cause an event is similar to being involved in that event	nongold
79	to lower means to decrease	nongold
80	a land mass is a kind of object	nongold
81	far means great in distance	nongold
82	magma is found below the ground	nongold
83	erosion is a kind of process	nongold
84	a meteorite is formed by a meteoroid impacting the surface of a planet	nongold
85	metamorphosis is a kind of process	nongold
86	contains means located in	nongold
87	an earthquake usually occurs over a period of 10 to 30 seconds	nongold
88	a part of a process means a stage in a process	nongold
89	the surface of the Earth is made of 70% ocean	nongold
90	to create means to make	nongold
91	a reaction is a kind of process	nongold
92	affected means changed	nongold
93	an environment means an area	nongold
94	producing is a kind of process	nongold
95	oceans are a part of the hydrosphere on earth	nongold
96	something that happens is a kind of event	nongold
97	a motion is a kind of event; action	nongold
98	intense means high in intensity	nongold
99	faster means an increase; higher in speed	nongold
