Question	Jennifer has collected rocks while hiking. As she attempts to classify her rocks, which will she put in the pile of sedimentary rocks?	question
Answer	Rocks with visible pieces of shells in them	answer
0	a shell is a part of some animals	nongold
1	sedimentary rocks are made of small particles	nongold
2	classifying means grouping objects; materials by their properties	nongold
3	sedimentary is a kind of rock	gold
4	a shell is a kind of fossil	gold
5	classifying is when one sorts something by kind; type	gold
6	a piece of something is a kind of object	nongold
7	shells can be fossilized	nongold
8	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
9	a living thing is a kind of object	nongold
10	a rock is a kind of object	nongold
11	a piece is a part of a whole	nongold
12	piles of rock are a kind of landform	nongold
13	pile is a kind of motion	nongold
14	observable means visible	nongold
15	classify is similar to characterize	nongold
16	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
17	to collect means to gather	nongold
18	rock is a kind of material	nongold
19	a mollusk is a kind of animal	nongold
20	an animal is a kind of living thing	nongold
21	to belong to a class means to be a kind of something	nongold
22	sedimentary rocks are formed by deposition; cementation	nongold
23	to be made of is similar to collection	nongold
24	an aquatic animal is a kind of animal	nongold
25	a piece of an object is smaller in size than the whole object	nongold
26	a kind of something is classified as that something	nongold
27	visible means able to be seen	nongold
28	to categorize means to classify	nongold
29	an part of an object is smaller than the entire object	nongold
30	objects are made of materials; substances; matter	nongold
31	to break down means to break into smaller pieces	nongold
32	organisms can be preserved in sedimentary rock	nongold
33	an animal is a kind of organism	nongold
34	rock means stone	nongold
35	nearly all fossils are found in sedimentary rock	gold
36	material means substance	nongold
37	a reptile is a kind of animal	nongold
38	if an object is made of something then the parts of that object are made of that something	nongold
39	aquatic animal means water animal	nongold
40	a shell is a part of a  snail for protecting the snail	nongold
41	a structure of something is synonymous with a part of that something	nongold
42	if something is a part of something then that something can be found in that something	nongold
43	shale is a kind of sedimentary rock	nongold
44	an object is made of its parts	nongold
45	a landform is a kind of object	nongold
46	classifying is a kind of science process	nongold
47	extreme heat and pressure compact sediment into sedimentary rock	nongold
48	composed of means made of	nongold
49	class is a measure of how a rock is formed	nongold
50	made up of means contains; made of	nongold
51	classifying is a kind of skill	nongold
52	John is a name for a human	nongold
53	sediment is formed from rock	nongold
54	answering questions requires information	nongold
55	limestone is a kind of sedimentary rock	nongold
56	sediment is a kind of matter	nongold
57	a human is a kind of animal	nongold
58	a type is synonymous with a kind	nongold
59	different classes of rocks are formed by different methods	nongold
60	a shell is a part of a  turtle for protecting the turtle	nongold
61	structure is a property of an object; a material; a substance	nongold
62	an organism is a living thing	nongold
63	made of is similar to contains	nongold
64	if something is made of something; a material then that something contains that something; that material	nongold
65	classification is a kind of process	nongold
66	rock is a kind of nonliving thing	nongold
67	to classify means to decide what class something belongs to	nongold
68	to try means to make an effort	nongold
69	sometimes piles of rock are formed by  melting glaciers depositing rocks	nongold
70	the parts of something make up that something	nongold
71	if an object is made of a material then that object has the properties of that material	nongold
72	form means kind	nongold
73	category means kind	nongold
74	a particle is a kind of object	nongold
75	to tell the difference between things means to classify those things	nongold
76	break down means change from a whole into pieces	nongold
77	an animal's shell is usually hard for protection	nongold
78	an animal's shell is usually hard for protection	nongold
79	walking is a kind of motion	nongold
80	classifying requires comparing	nongold
81	Jonny is a name for a human	nongold
82	a sheet of is similar to a piece of	nongold
83	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
84	a container is a kind of object	nongold
85	a part of something is present in that something	nongold
86	metamorphosed rock is a kind of rock	nongold
87	can be means able to be	nongold
88	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
89	if something is visible , then that something can be observed	nongold
90	a component means a part of	nongold
91	a structure is a kind of feature	nongold
92	materials are made of matter	nongold
93	to contain means to have inside	nongold
94	a component of something means a part of that something	nongold
95	landform means surface feature; physical feature; land feature	nongold
96	to belong to a group means to be classified in that group	nongold
97	not visible means cannot be seen	nongold
98	moving is similar to travelling	nongold
99	water is a kind of object	nongold
