Question	Mammals must eliminate waste products that their bodies produce. Which organ helps mammals eliminate bodily waste?	question
Answer	kidney	answer
0	helping something has a  positive impact on that something	nongold
1	helping bodily processes has a positive impact on an animal; an animal's health	nongold
2	the kidney removes; filters bodily waste; cell waste; byproducts from the blood	gold
3	to be used  for something means to help to do that something	nongold
4	to help means to aid	nongold
5	to help; to benefit means to be of use	nongold
6	eliminate means remove	gold
7	all living things eliminate waste	nongold
8	a kidney is a kind of organ in an animal	gold
9	requiring is similar to needing help	nongold
10	to enable is to help	nongold
11	a liver is a part of an animal used in  digestion	nongold
12	waste must be removed	nongold
13	a mammal is a kind of animal	gold
14	an animal is a kind of living thing	nongold
15	processes sometimes produce waste products	nongold
16	dead organisms are a kind of waste	nongold
17	an animal is a kind of organism	nongold
18	a human is a kind of mammal	nongold
19	an animal; living thing requires nutrients for survival	nongold
20	a producer produces its own food	nongold
21	get rid of means eliminate; remove	nongold
22	helping means to assist in a change	nongold
23	the liver is a part of the digestive system	nongold
24	a liver is a kind of organ	nongold
25	a human is a kind of animal	nongold
26	digestion is a kind of bodily process	nongold
27	an organism is a living thing	nongold
28	excretion  is when  the excretory system removes waste from the body	nongold
29	In the cellular respiration; animal respiration process carbon dioxide is a waste product	nongold
30	a source of something emits; produces; generates; provides that something	nongold
31	lysosomes process; eliminate cellular waste	nongold
32	an animal needs to eat food for nutrients	nongold
33	removing waste is a kind of function	nongold
34	a cell produces carbon dioxide for waste	nongold
35	the waste of an animal contains nitrogen	nongold
36	a producer is a kind of living thing	nongold
37	a body cell means a somatic cell	nongold
38	a food contains nutrients for living things	nongold
39	remove means decrease	nongold
40	make means produce	nongold
41	an animal cell is a kind of cell	nongold
42	an animal is a kind of consumer	nongold
43	a stomach is a part of a human's; animal's digestive system for the digestion of proteins	nongold
44	products are formed; are produced; are created	nongold
45	human is a kind of organism	nongold
46	nutrients are a kind of substance	nongold
47	person is synonymous with human	nongold
48	the body is a part of an organism	nongold
49	consuming liquids is used to replenish bodily water by an animal	nongold
50	a cell absorbs nutrients	nongold
51	to depend on; to rely on; to need means to require	nongold
52	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
53	a body system is a part of the body; an animal	nongold
54	cells are a part of the body	nongold
55	emit means produce	nongold
56	helping means something can be done; completed more easily; better	nongold
57	digestion of proteins occurs in the stomach; small intestine	nongold
58	if a living thing requires something then that something has a positive impact on that living thing	nongold
59	a plant; living thing requires food for survival	nongold
60	a living thing is made of cells	nongold
61	the digestive system is a kind of body; organ system	nongold
62	negative impact is the opposite of positive impact	nongold
63	help means advantage	nongold
64	to make something easier means to help	nongold
65	organisms are a part of an environment	nongold
66	human waste often causes harm to an environment	nongold
67	waste has a  negative impact on the environment	nongold
68	producing is a kind of process	nongold
69	the blood is a vehicle for moving chemical waste and excess water from the body to the kidneys	nongold
70	a human cannot survive the loss of their liver	nongold
71	a plant is a kind of organism	nongold
72	the kidney is located in the abdomen	nongold
73	garbage means waste	nongold
74	organ system means body system	nongold
75	converting is similar to producing	nongold
76	the liver is located in the abdomen	nongold
77	to be helpful means to help to do	nongold
78	a small intestine is a part of a human's; animal's digestive system for the digestion of proteins	nongold
79	the digestive system is a kind of body; human system	nongold
80	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
81	must have means require	nongold
82	if something is given off of something , then something is the product of something	nongold
83	producing is a kind of function	nongold
84	food contains carbohydrates	nongold
85	a living thing is a kind of object	nongold
86	food is a kind of substance	nongold
87	food is what an animal eats	nongold
88	to contribute is similar to produce	nongold
89	good means positive	nongold
90	green plants are a kind of producer	nongold
91	organisms mean life	nongold
92	a human cell is a kind of cell	nongold
93	internal organs are a part of the body	nongold
94	organs are made of different types of  cellular tissues	nongold
95	if something causes an increase in something else then that something produces that something else	nongold
96	if a human discards an object then that object will become waste	nongold
97	mammals is a kind of class	nongold
98	living things perform biological processes	nongold
99	if something required by an organism is depleted then that organism must replenish that something	nongold
