Question	Which of the following helps keep the Moon in its orbit?	question
Answer	gravity	answer
0	to keep something occurring means to cause that something to occur	gold
1	the moon orbits the Earth	gold
2	gravity causes orbits	gold
3	to keep a process or event happening is similar to causing that process or event to happen	nongold
4	a moon is a kind of celestial object; body	nongold
5	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
6	moons orbit planets	nongold
7	helping something has a  positive impact on that something	nongold
8	to be used  for something means to help to do that something	nongold
9	revolving  around something means orbiting that something	nongold
10	planets orbit stars	nongold
11	keeping means staying	nongold
12	helping means to assist in a change	nongold
13	orbit means orbital path	nongold
14	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
15	orbiting is a kind of action	nongold
16	to help; to benefit means to be of use	nongold
17	a planet is a kind of celestial object; body	nongold
18	to maintain means to not change	nongold
19	Earth is a kind of planet	nongold
20	a moon is a kind of satellite	nongold
21	the moon orbiting the Earth occurs approximately 13 times per year	nongold
22	the Moon is Earth's moon	nongold
23	to depend on; to rely on; to need means to require	nongold
24	requiring is similar to needing help	nongold
25	to enable is to help	nongold
26	orbit is a kind of characteristic	nongold
27	gravity pulls objects towards planets	nongold
28	the moon's orbit is elliptical	nongold
29	staying means not changing	nongold
30	the moon orbiting the Earth occurs once per month	nongold
31	moons are large; solid; spherical	nongold
32	inhibitor means something that prevents something from happening	nongold
33	a phase of the moon is a kind of state	nongold
34	to help means to aid	nongold
35	to make something easier means to help	nongold
36	if something is required for a process then keeping that something from reaching that process can stop that process	nongold
37	good means positive	nongold
38	a full moon is a kind of phase of the moon	nongold
39	planets have cleared their orbits	nongold
40	high is similar to increase	nongold
41	to keep something from happening means to prevent that something	nongold
42	gravity is a kind of force	nongold
43	gravity helps move blood through the body	nongold
44	pluto has not cleared its orbit	nongold
45	having a positive impact on health; survival is synonymous with helping to keep healthy	nongold
46	negative impact is the opposite of positive impact	nongold
47	planets in the solar system orbit the Sun	nongold
48	help means advantage	nongold
49	an event is a kind of action	nongold
50	Mars is a kind of planet	nongold
51	type of moon; kind of moon means moon phase	nongold
52	best means most positive	nongold
53	an orbit is a kind of regular path	nongold
54	revolving is a kind of motion	nongold
55	a motion is a kind of event; action	nongold
56	the moon rotates on its axis	nongold
57	better means good	nongold
58	a new moon is a kind of phase of the moon	nongold
59	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
60	the moon is the celestial object that is closest to the  Earth	nongold
61	protecting something means preventing harm to that something	nongold
62	to remain means to stay where it is	nongold
63	to be good for means to have a positive impact on	nongold
64	answering questions requires information	nongold
65	harming something has a  negative impact on; effect on that something	nongold
66	a planet completes one orbit around its star over a period of one planetary year	nongold
67	Celestial bodies move in orbits in space around other celestial bodies	nongold
68	the Moon is closer to the Earth than the Sun	nongold
69	a human is a kind of animal	nongold
70	if an object escapes the gravitational pull of a planet then that object is no longer affected by the gravitational pull of that planet	nongold
71	a component of something means a part of that something	nongold
72	stay the same means not changing	nongold
73	having an impact on something means altering that something	nongold
74	to cause an event is similar to being involved in that event	nongold
75	to give is similar to to cause	nongold
76	an increase is the opposite of a decrease	nongold
77	the Sun is a kind of star	nongold
78	can be means able to be	nongold
79	to be dependent on something means to depend on that something	nongold
80	to stay means to continue to exist	nongold
81	a component means a part of	nongold
82	helping means something can be done; completed more easily; better	nongold
83	to act on means to affect	nongold
84	preventing something decreases the amount of that something	nongold
85	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
86	to enable is similar to cause	nongold
87	a process is a kind of event	nongold
88	increase means more	nongold
89	to remain means to stay the same	nongold
90	if something has no impact on something else then that something else stays the same	nongold
91	the mass of a planet causes the pull of gravity on that planet	nongold
92	causing is a kind of affecting	nongold
93	to impact means to affect	nongold
94	variable means able to change	nongold
95	if something causes something else then that something else depends on that something	nongold
96	different celestial body has different gravity	nongold
97	a factor impacts something	nongold
98	to be used for something means to be required by that something	nongold
99	to protect means to make safe	nongold
