Question	Which of these is one similarity of the elements in the first group of the periodic table?	question
Answer	The elements in the group react with oxygen in similar ways.	answer
0	similarity means the same property	gold
1	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
2	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	gold
3	if the elements have similar chemical reactivity , then the elements will react with other elements in a similar way	gold
4	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
5	elements in the same group on the Periodic Table of Elements have similar properties	nongold
6	oxygen  is a kind of element	gold
7	if two things are made from the same objects; material then those two things are similar	nongold
8	hydrogen is a kind of element	nongold
9	the nitrogen family is a kind of group in periodic table	nongold
10	an  element is a kind of atom	nongold
11	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	nongold
12	the  property of something is the same for the things of same kind	nongold
13	to belong to a group means to be a kind of something	nongold
14	an atom is a kind of object	nongold
15	if two objects are similar , then the two objects share properties	nongold
16	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
17	the Periodic Table is a table displays elements	nongold
18	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
19	together means in a group	nongold
20	the  elements in the chemical reaction stays the same after the reaction	nongold
21	if two things have the same features then those two things are alike	nongold
22	an element is made of one kind of atoms	nongold
23	a group; family in the periodic table means a column in the periodic table	nongold
24	the chemistry of something is similar to what that something is made of	nongold
25	if two elements are next to each other  on the Periodic Table , then the two elements will have similar size of atoms	nongold
26	chemical reactions cause chemical change	nongold
27	oxygen is a kind of gas at room temperature	nongold
28	identical is the opposite of different	nongold
29	noble gases elements; elements in group 18 on the periodic table usually are the most chemically unreactive	nongold
30	oxygen is a part of many organic molecules	nongold
31	carbon is a kind of element	nongold
32	to belong to a group means to be classified in that group	nongold
33	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	gold
34	an element is a kind of  substance	nongold
35	to group means to separate	nongold
36	chemical reaction means chemical bonds change	nongold
37	An example of a chemical property is how a material reacts chemically	nongold
38	a bonding property is a kind of chemical property	nongold
39	chemical reactions cause new substances; different substances to form	nongold
40	to change means to become different	nongold
41	if something changes , then that something is not the same	nongold
42	chemical change is a kind of chemical reaction	nongold
43	hydrogen is a kind of gas at room temperature	nongold
44	same means identical; equal in value; amount; number; quantity	nongold
45	different is the opposite of the same	nongold
46	the  chemical symbol for oxygen is O	nongold
47	a table is a kind of object	nongold
48	if something is not the same as something else then that something is different from that something else	nongold
49	opposite is a kind of different	nongold
50	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	nongold
51	oxygen gas is made of only  oxygen element	nongold
52	to be made of something means to be formed of that something	nongold
53	a  chemical property is a kind of  property	nongold
54	if two things perform the same function then those two things are similar	nongold
55	if two objects are apart from each other then matter is between those two objects	nongold
56	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	nongold
57	hydrogen is located on the left side; first column on the periodic table	nongold
58	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
59	water is made of hydrogen and oxygen	nongold
60	both means two	nongold
61	an atom is the smallest particle; unit that has the properties of an element	nongold
62	all elements are a kind of pure substance	nongold
63	substances are made of elements	nongold
64	combining; mixing two substances chemically causes chemical reactions	nongold
65	different types of matter have different chemical properties	nongold
66	if something is copied then that something will be the same; similar; identical	nongold
67	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
68	reaction to light is a kind of chemical property	nongold
69	O2 means oxygen	nongold
70	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
71	oxygenated means having oxygen	nongold
72	Fluorine(F); Chlorine(Cl); Bromine(Br); Iodine(I); Astatine(At) is located in halogens family; group 17 on the periodic table	nongold
73	each is similar to individual	nongold
74	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
75	a compound can be chemically separated into the elements that it is made of	nongold
76	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
77	the periodic table is arranged in rows and columns	nongold
78	a  gas is a kind of  element	nongold
79	An example of a chemical property is the elements a compound is made of	nongold
80	a reaction is a kind of process	nongold
81	a type of something is a kind of property of that something	nongold
82	a molecule is made of atoms chemically combined; bonded	nongold
83	chemical composition is a kind of property	nongold
84	methane reacting with oxygen is a kind of exothermic reaction	nongold
85	made of is similar to contains	nongold
86	matter; materials; substances are made of atoms; particles	nongold
87	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
88	nitrogen is a kind of element	nongold
89	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
90	if a substance is made of one element , then the substance is called an element	nongold
91	identical means copy	nongold
92	O is the chemical symbol for oxygen	nongold
93	classifying means grouping objects; materials by their properties	nongold
94	similar means in common	nongold
95	a compound is made of two or more elements that have been chemically combined	nongold
96	chemical compounds contain chemical bonds between atoms; between elements	nongold
97	an atom is exceptionally small in size	nongold
98	chemical reactions do not cause the total number of atoms to change	nongold
99	living things in the same class are  more closely related than living things in different classes	nongold
