Question	Which explains the pattern of day and night?	question
Answer	Earth spins on its axis.	answer
0	the Earth rotates on its axis	gold
1	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
2	spin means rotate	gold
3	a planet rotating causes cycles of day and night on that planet	gold
4	rotation is a kind of motion	nongold
5	Earth rotating on its axis occurs once per day	nongold
6	Earth's angle of tilt causes the length of day and night to vary	nongold
7	rotate means turn	nongold
8	motion; movement means moving; to move	nongold
9	cycles of day and night occur once per day	nongold
10	Earth is a kind of planet	gold
11	motion is when moves an object; something to a direction	nongold
12	the sun rising and setting causes cycles of day and night	nongold
13	rotating is similar to moving	nongold
14	a rotation is a kind of movement	nongold
15	the Earth revolves around the sun	nongold
16	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
17	setting is a kind of motion	nongold
18	a planet is a kind of celestial object; body	nongold
19	revolving is a kind of motion	nongold
20	if something is caused by something else , then that something can be explained by that something else	nongold
21	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
22	diurnal motion is when  objects in the sky appear  to move due to Earth's rotation on its axis	nongold
23	the night time is part of one day	nongold
24	a star is a kind of celestial object; celestial body	nongold
25	to rotate means to complete a rotation	nongold
26	turning is a kind of motion	nongold
27	the moon rotates on its axis	nongold
28	Earth's rotation causes time zones	nongold
29	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
30	as the rotation speed of a planet increases , the length of day and night will decrease on that planet	nongold
31	days are a kind of unit for measuring time	nongold
32	movements of celestial bodies are a kind of event	nongold
33	cycle is similar to pattern	gold
34	the day time is part of one day	nongold
35	movement is a kind of change	nongold
36	a motion is a kind of event; action	nongold
37	phase means state	nongold
38	speed is a measure of how fast an object is moving	nongold
39	events occur at a specific place; at a specific time; with a specific frequency	nongold
40	Earth is made of rock	nongold
41	rising is a kind of motion	nongold
42	rotate is similar to revolve	nongold
43	a moon is a kind of celestial object; body	nongold
44	travel means to move	nongold
45	moving is similar to travelling	nongold
46	some celestial bodies rotate in space	nongold
47	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
48	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
49	the sun rising; setting occurs once per day	nongold
50	all the time means at day and at night	nongold
51	to turn means to change	nongold
52	vibration is a kind of motion	nongold
53	affected means changed	nongold
54	speed is a property of an object and includes values of slow; fast	nongold
55	the Moon is Earth's moon	nongold
56	rolling is a kind of motion	nongold
57	Earth's surface is made of rock	nongold
58	variable means able to change	nongold
59	high is similar to increase	nongold
60	the ground is part of the Earth	nongold
61	turns is similar to changes	nongold
62	daytime means day	nongold
63	rotation  is  the  circular movement of an object around a center; axis	nongold
64	Earth's tilt on its rotating axis causes seasons to change; to occur	nongold
65	an object is made of its parts	nongold
66	moving changes position	nongold
67	a cycle happens; occurs repeatedly	nongold
68	Celestial bodies move in orbits in space around other celestial bodies	nongold
69	the Sun is a kind of star	nongold
70	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
71	matter; materials; substances are made of atoms; particles	nongold
72	the sun is not a star in the night sky	nongold
73	a wheel is a kind of object	nongold
74	flying is a kind of motion through air; space	nongold
75	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
76	rising means height; altitude increases	nongold
77	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
78	to slow; to slow down decreases speed	nongold
79	revolving  around something means orbiting that something	nongold
80	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	nongold
81	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
82	objects are made of materials; substances; matter	nongold
83	wind pattern is a kind of weather pattern	nongold
84	faster means an increase; higher in speed	nongold
85	the Earth being tilted on its rotating axis causes seasons	nongold
86	something that happens is a kind of event	nongold
87	an event is a kind of action	nongold
88	a source of something emits; produces; generates; provides that something	nongold
89	nighttime means night	nongold
90	the ground means Earth's surface	nongold
91	shift means move	nongold
92	constant means not changing	nongold
93	a surface is a part of an object	nongold
94	darkness occurs at night	nongold
95	both means two	nongold
96	a revolution occurs when something revolves around something else	nongold
97	increasing is a kind of order	nongold
98	distance is a property of space and includes ordered values of close; far	nongold
99	measuring is used for describing an object	nongold
