Question	The Moon is visible to observers on Earth because of	question
Answer	reflected sunlight	answer
0	visible means able to be seen	nongold
1	a moon is a kind of celestial object; body	gold
2	the moon reflects sunlight towards the Earth	gold
3	the Moon is Earth's moon	nongold
4	light reflecting off of an object causes that object to be visible to the observer	gold
5	if something is visible , then that something can be observed	nongold
6	Earth is a kind of planet	nongold
7	the moon is the celestial object that is closest to the  Earth	nongold
8	invisible means cannot be seen	nongold
9	the moon orbits the Earth	nongold
10	not visible means cannot be seen	nongold
11	reflection is when light is reflected from one object; one place to  another object; another place	nongold
12	reflecting light; sound is the opposite of absorbing light; sound	nongold
13	sunlight is a kind of light	gold
14	visible light is a kind of  light	nongold
15	a planet is a kind of celestial object; body	nongold
16	the sun is a source of light; light energy called sunlight	nongold
17	moons are large; solid; spherical	nongold
18	the Moon is closer to the Earth than the Sun	nongold
19	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
20	the dark half of the moon is not visible	nongold
21	if an object reflects more light then that object is more easily seen	nongold
22	type of moon; kind of moon means moon phase	nongold
23	Earth's shadow falling on the moon causes a lunar eclipse	nongold
24	viewing means observing light	nongold
25	to bounce back means to reflect	nongold
26	a full moon is a kind of phase of the moon	nongold
27	comets reflect the light of the sun	nongold
28	if an object reflects light toward the eye then that object can be seen	nongold
29	the moon is less bright than the sun	nongold
30	the new moon is when the lighted half of the moon faces the Sun	nongold
31	the earth has more mass than the moon	nongold
32	the new moon is when the dark half of the moon faces the Earth	nongold
33	a planet's  moon is smaller than that planet	nongold
34	seeing is used for sensing visual things	nongold
35	the moon rotates on its axis	nongold
36	human eyes can only see light in the range of visible light	nongold
37	eyes can sense;detect light energy for seeing	nongold
38	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
39	sight means to see	nongold
40	eyes are a part of a human for seeing	nongold
41	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
42	seeing requires light	nongold
43	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
44	to reflect light means to scatter light	nongold
45	apparent magnitude is a measure of the brightness of a celestial object; celestial body as observed on Earth	nongold
46	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
47	the moon orbiting the Earth occurs approximately 13 times per year	nongold
48	visible light is able to be seen without using equipment	nongold
49	eyes are usually part of an animal for seeing	nongold
50	reflection is a property of light	nongold
51	a white object reflects all visible light	nongold
52	a human is a kind of animal	nongold
53	a moon is a kind of satellite	nongold
54	eyes are used for seeing by animals by sensing light	nongold
55	the moon rising occurs once per day	nongold
56	the Moon completes a lunar cycle over a period of 29 days	nongold
57	an animal is a kind of living thing	nongold
58	shiny things; objects reflect light	nongold
59	the sun is a source of radiation; heat called sunlight	nongold
60	humans have been on Earth for 300000 years	nongold
61	moons; comets; planets are part of the solar system	nongold
62	intensity of sunlight is similar to amount of sunlight	nongold
63	a solar eclipse is when the Moon blocks the Earth from the sun	nongold
64	a full moon occurs after a waxing gibbous moon	nongold
65	looking directly at an eclipse of the Sun causes harm to the eyes	nongold
66	the moon's orbit is elliptical	nongold
67	sunlight is a kind of solar energy	nongold
68	a moon phase is a kind of natural event	nongold
69	bouncing something back means reflecting that something	nongold
70	to see means to look	nongold
71	the solar system contains the moon	nongold
72	the Earth revolves around the sun	nongold
73	a phase of the moon is a kind of state	nongold
74	light is a kind of wave	nongold
75	sunlight means solar energy	nongold
76	to view means to see	nongold
77	the phases of the Moon change the appearance of the Moon	nongold
78	can be means able to be	nongold
79	receiving sunlight  is synonymous with absorbing sunlight	nongold
80	the sun is the source of solar energy called sunlight	nongold
81	a waning crescent is a kind of phase of the moon	nongold
82	a new moon is a kind of phase of the moon	nongold
83	a lunar eclipse is when the Earth blocks the Moon from the sun	nongold
84	high is similar to increase	nongold
85	look at means observe	nongold
86	an increase is a kind of change	nongold
87	a waxing gibbous is a kind of phase of the moon	nongold
88	Earth is the planet that is third closest to the  Sun	nongold
89	the Moon has less water; air than Earth	nongold
90	lunar phase is synonymous with moon phase	nongold
91	the Sun is a kind of star	nongold
92	each of the moon's phases occurs once per month	nongold
93	if an object reflects a light of a certain color then the object appears to be that color	nongold
94	a living thing is a kind of object	nongold
95	a waning gibbous is a kind of phase of the moon	nongold
96	reflection is when particles bounce off a surface	nongold
97	the moon does not contain air; water	nongold
98	observable means visible	nongold
99	the moon orbiting the Earth occurs once per month	nongold
