Question	Burning coal and natural gas are ways to produce electricity. Both coal and natural gas are nonrenewable resources. Which is an example of producing electricity using a renewable source of energy?	question
Answer	heating a home with energy collected by solar panels	answer
0	An example of using natural gas is heating homes	nongold
1	a solar panel converts sunlight; solar energy into electrical energy; electricity	gold
2	coal is used for generating heat by burning	nongold
3	solar energy is a source of electricity	nongold
4	natural gas is a nonrenewable resource	nongold
5	coal is used to produce electricity by burning in coal-fire power stations	nongold
6	natural gas is a source of heat by burning	nongold
7	natural gas is used for generating electricity by burning in a power plant	nongold
8	solar power means solar energy	nongold
9	coal is a nonrenewable resource	nongold
10	coal is a kind of fossil fuel	nongold
11	natural gas is a kind of fossil fuel	nongold
12	renewable is the opposite of nonrenewable	nongold
13	solar energy is a kind of energy	gold
14	natural gas is used for generating heat by burning in a furnace; in a stove	nongold
15	natural gas is used for heating building by burning	nongold
16	fossil fuels are a nonrenewable resource	nongold
17	a fossil fuel is a kind of natural resource	nongold
18	an energy source is a kind of resource	gold
19	producing renewable electric energy requires renewable resources	nongold
20	sunlight is a kind of solar energy	gold
21	using coal requires burning coal	nongold
22	solar energy is a kind of heat energy	nongold
23	sunlight means solar energy	nongold
24	electricity is used as an energy source by electrical devices	nongold
25	fossil fuels are a kind of energy resource	nongold
26	electricity means electrical energy	nongold
27	a producer is a kind of living thing	nongold
28	a producer is a source of energy for consumers	nongold
29	a source of something emits; produces; generates; provides that something	nongold
30	a kind of something is an example of that something	nongold
31	if something is powered by something else then that something requires a source of that something else	nongold
32	solar panels are a kind of power supplies	nongold
33	energy is used for heating a building by a heating system	nongold
34	converting is similar to producing	gold
35	generate means produce	nongold
36	solar energy is a renewable; inexhaustible resource	gold
37	a renewable resource is a kind of natural resource	nongold
38	a solar panel is made of solar cells	nongold
39	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
40	resources sometimes are used for energy	nongold
41	a house is a kind of home	nongold
42	producing is a kind of process	nongold
43	if something requires something else then that something requires a source of that something else	nongold
44	electricity sometimes is used for heating buildings; substances	gold
45	to power means to provide energy for	nongold
46	electrical energy is a kind of energy	nongold
47	natural gas is used for cooking food by burning	nongold
48	fire causes burning	nongold
49	sunlight produces heat	nongold
50	green plants are a kind of producer	nongold
51	converting is similar to generating	nongold
52	coal is a kind of fuel	nongold
53	heat is a kind of energy	nongold
54	a source of heat can be used to heat something	nongold
55	a source of heat can be used to heat something	nongold
56	solar cells convert solar energy into electrical energy	nongold
57	burning is a kind of action	nongold
58	to produce means to provide	nongold
59	a home is a kind of building	gold
60	solar radiation means solar energy	nongold
61	to be made of is similar to collection	nongold
62	if something comes from something else then that something else is a source of that something	nongold
63	heat means heat energy	nongold
64	generating power is a kind of positive impact	nongold
65	heating means adding heat	nongold
66	the solar system is a kind of system	nongold
67	solar energy is a kind of light	nongold
68	to be used for something means to be required by that something	nongold
69	where something  comes from is a source of that something	nongold
70	producing electricity sometimes requires burning oil	nongold
71	if something is a raw material in a process then that something is required for that process	nongold
72	to collect means to gather	nongold
73	to depend on; to rely on; to need means to require	nongold
74	consumption means use	nongold
75	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
76	if something is a raw material then that something comes directly from a source	nongold
77	carbon dioxide is a kind of gas	nongold
78	if something releases something else then that something is the source of that something else	nongold
79	if something generates energy for something else then that something powers that something else	nongold
80	if something causes a process then that something is required for that process	nongold
81	solar energy is an inexhaustible resource	nongold
82	to combust means to catch fire	nongold
83	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
84	emit means produce	nongold
85	oil is a kind of fossil fuel	nongold
86	fossil fuels burning causes pollution	nongold
87	make means produce	nongold
88	a nonrenewable resource is limited in supply	nongold
89	oil is a nonrenewable resource	nongold
90	to use means to utilize	nongold
91	renewable resources are often available for many years	nongold
92	electrical devices are used for industrial purposes; household purposes by humans	nongold
93	if something is required for a process then that something positively impacts that process	nongold
94	a renewable resource is a kind of naturally replaced resource	nongold
95	to provide something means to be the source of that something	nongold
96	electric devices require electrical energy to function	nongold
97	fossil fuels have high potential energy	nongold
98	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
99	oil is used for producing electricity	nongold
