Question	During the fall reproductive season, the belly of a male brook trout becomes bright orange. The orange belly provides some camouflage and helps attract females. This trait evolved in brook trout because, compared to males with pale bellies, males with bright orange bellies are more likely to	question
Answer	fertilize eggs to produce offspring.	answer
0	trout is a kind of fish	gold
1	an animal requires a mate to fertilize an egg	gold
2	orange is a kind of color	gold
3	a belly is a part of an animal	gold
4	animals require fertilization to reproduce	gold
5	reproduction produces; produce offspring	nongold
6	fertilization is a stage in the sexual reproduction process	gold
7	trout live in lakes	nongold
8	fertilization is when an egg cell becomes fertilized	nongold
9	fish lay eggs	nongold
10	to reproduce means to have; to produce offspring	gold
11	to attract females; males means to attract mates	gold
12	a fish is a kind of aquatic animal	nongold
13	fertilization is a kind of process	nongold
14	a fish is a kind of animal	gold
15	bright means bright; light in color	nongold
16	parents produce offspring	nongold
17	an increase is the opposite of a decrease	nongold
18	if something causes an increase in something else then that something produces that something else	nongold
19	some animals have offspring by laying eggs	nongold
20	to produce means to provide	nongold
21	an aquatic animal is a kind of animal	nongold
22	gills are a part of trout	nongold
23	trait is synonymous with characteristic	gold
24	if an animal hatches from an egg then that animal is born	nongold
25	An example of reproduction is laying eggs	nongold
26	increase means more	nongold
27	fertilization is not a stage in the asexual reproduction process	nongold
28	a source of something emits; produces; generates; provides that something	nongold
29	sexual reproduction is a kind of reproduction	nongold
30	coloration is a kind of adaptation for hiding;camouflage	nongold
31	An example of camouflage is when something is; has the same color as its environment	nongold
32	producing is similar to causing	nongold
33	emit means produce	nongold
34	sexual reproduction in animals is when egg; sperm join together	nongold
35	helping something has a  positive impact on that something	gold
36	an animal needs to attract a mate to reproduce	gold
37	camouflage is used for protection; hiding by prey; animals against predators; from predators	nongold
38	an animal is a kind of living thing	nongold
39	reproduction increases the number; population of a living thing	nongold
40	less is the opposite of more	nongold
41	an organism is a living thing	nongold
42	fall is a kind of season	nongold
43	camouflage is a kind of protection against predators; from predators; against consumers	nongold
44	An example of camouflage is when something changes color in order to have the same color as its environment	nongold
45	less is similar to decrease	nongold
46	if a living thing requires something then that something has a positive impact on that living thing	nongold
47	children; young is synonymous with offspring	nongold
48	an egg is a kind of object	nongold
49	in sexual reproduction the egg is a vehicle for the genes from the mother to the offspring	nongold
50	a living thing is a kind of object	nongold
51	An example of camouflage is when an organism looks like its environment	nongold
52	some adult animals lay eggs	nongold
53	young means immature	nongold
54	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
55	a mother births offspring	nongold
56	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
57	an animal is a kind of organism	gold
58	an egg requires warmth to survive; hatch; develop	nongold
59	to produce means to result in	nongold
60	producing is a kind of process	nongold
61	an animal being born; being hatched when food is available has a positive impact on that animal's survival; health	nongold
62	high is similar to increase	nongold
63	if two organisms produce fertile offspring together then those two organisms belong to the same species	nongold
64	reproductive behavior is an inherited characteristic	nongold
65	eggs become baby animals	nongold
66	an animal is a member of an animal species	nongold
67	development is similar to production	nongold
68	reproduction is a kind of process	nongold
69	color is a property of  an object; a material	nongold
70	low is similar to decrease	nongold
71	Camouflage is synonymous with visual disguise	nongold
72	an animal being born; being hatched when temperatures are warm has a positive impact on that animal's survival; health	nongold
73	having a positive impact on reproduction increases the chance of reproduction	nongold
74	producing is similar to releasing	nongold
75	laying eggs is a kind of property of an animal	nongold
76	one parent is the source of 50% of the genes in a fertilized egg through sexual reproduction	nongold
77	sexual reproduction is a source of genetic variation; naturally occurring variation in offspring; in a species	nongold
78	An example of a reproductive behavior is salmon returning to their birthplace to lay their eggs	nongold
79	an asexually produced offspring is genetically identical to its parent	nongold
80	live birth means developing inside the mother instead of an egg	nongold
81	harming something has a  negative impact on; effect on that something	nongold
82	an orange is a kind of fruit	nongold
83	fish eat insects	nongold
84	as the number of eggs laid by an animal increases , the number of eggs that hatch will increase	nongold
85	animals reproduce sexually	nongold
86	the reproductive system produces sperm; egg cells	nongold
87	attract a mate means find a mate	nongold
88	the colors of parts of an organism are inherited characteristics	gold
89	reproduction is a stage in the life cycle process	nongold
90	a fish is a kind of predator	nongold
91	converting is similar to producing	nongold
92	an egg is a kind of food	nongold
93	reproduction occurs during adulthood	nongold
94	a fertilized egg cell is a source of an embryo by dividing	nongold
95	coloration means a thing's color	nongold
96	produce is similar to release	nongold
97	camouflage can be used for hunting for prey; food	nongold
98	greater means higher; more in value	nongold
99	coloration is used to find a mate by some animals	nongold
