Question	An air mass in a valley travels up a mountainside. What causes the movement of this air?	question
Answer	warming by solar energy re-radiated from the ground	answer
0	the ground radiates solar energy into air	gold
1	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
2	mountainside is a part of valley	gold
3	solar radiation means solar energy	nongold
4	the sun is a source of radiation; heat called sunlight	nongold
5	the sun is the source of solar energy called sunlight	nongold
6	solar energy is a kind of heat energy	nongold
7	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
8	solar energy can warm up  the air	gold
9	air mass means a volume of air	gold
10	sunlight is a kind of solar energy	nongold
11	valley is located between mountains; hills	nongold
12	solar energy is a kind of energy	nongold
13	solar power means solar energy	nongold
14	air is a kind of gas	gold
15	a stationary air mass is a kind of air mass	nongold
16	travel means to move	nongold
17	temperature is a measure of heat energy	nongold
18	heat means heat energy	nongold
19	motion; movement means moving; to move	gold
20	moving is similar to travelling	nongold
21	sunlight means solar energy	nongold
22	the ground means Earth's surface	nongold
23	heating means adding heat	nongold
24	altitude is the distance from the ground to an object in the sky	nongold
25	warm means medium heat energy; temperature	nongold
26	the sun is a source of light; light energy called sunlight	nongold
27	solar energy is a kind of light	nongold
28	absorbing energy causes objects; materials; substances to heat	nongold
29	an object; material; substance comes from that object or material's source	nongold
30	the air is a kind of substance	nongold
31	the ground is part of the Earth	nongold
32	valley is a kind of location	gold
33	to travel up means to rise	gold
34	if heat is transferred to the air , then the temperature of the air will increase	nongold
35	if the energy in the object is transferred to the surrounding air , then the  temperature  of the object will   decrease	nongold
36	a mountain is a kind of landform	nongold
37	air temperature is a kind of temperature	nongold
38	transferring is moving from one place to another place	nongold
39	heat energy is synonymous with thermal energy	nongold
40	the surface of the Earth contains mountains	nongold
41	a mountain is high in altitude	nongold
42	where something  comes from is a source of that something	nongold
43	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
44	to add means to increase	nongold
45	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
46	atmosphere means  air	nongold
47	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
48	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
49	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
50	the movement of an air mass over Earth's surface causes sudden local weather changes	nongold
51	distance moved; distance travelled is a measure of how far an object moves	nongold
52	adding heat means increasing temperature	nongold
53	radiation is when heat is transferred through waves; particles	nongold
54	absorbing sunlight causes objects to heat	nongold
55	heat is a kind of energy	nongold
56	motion is when moves an object; something to a direction	nongold
57	hot means high in heat energy; temperature	nongold
58	movement is a kind of change	nongold
59	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
60	a mountain is made of rocks; soil	nongold
61	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
62	an increase is a kind of change	nongold
63	to a  human a air; environment temperature of 50 F to 70 F is considered cool	nongold
64	if something comes from something else then that something else is a source of that something	nongold
65	if heat is absorbed from a source then that heat source will cool	nongold
66	revolving is a kind of motion	nongold
67	warmer means greater; higher in temperature; warmth	nongold
68	if something transfers something else then that something is a source of something else	nongold
69	to a  human a air; environment temperature of 70 F to 82 F is considered warm	nongold
70	heat means temperature increases	gold
71	a source of something emits; produces; generates; provides that something	nongold
72	a mountain is a kind of land feature	nongold
73	a warm front is when warm air mass rises and passes over; collides a cold air mass	nongold
74	high is similar to increase	nongold
75	to a  human a air; environment temperature of 95 F to 50000000 F is considered very hot	nongold
76	a mountain; mountain range is a kind of environment	nongold
77	flying is a kind of motion through air; space	nongold
78	ground means floor	nongold
79	air is a part of the environment	nongold
80	as the altitude increases ,  the temperature of the air will increase in the stratosphere	nongold
81	mountains can  cause the water in the air mass to condense	nongold
82	to a  human a air; environment temperature of 10 C to 21 C is considered cool	nongold
83	air is a kind of matter	nongold
84	to a  human a air; environment temperature of 35 C to 50000000 C is considered very hot	nongold
85	to a  human a air; environment temperature of 82 F to 95 F is considered hot	nongold
86	the atmosphere is a kind of area	nongold
87	to reduce means to decrease	nongold
88	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
89	radiation means radiant energy	nongold
90	as altitude increases , the temperature of the air will decrease in the troposphere	nongold
91	warm means warm temperature	nongold
92	a mountain top is a part of a mountain	nongold
93	wind means moving air	nongold
94	convert is similar to transfer	nongold
95	to a  human a air; environment temperature of 21 C to 28 C is considered warm	nongold
96	to give off means to be the source of	nongold
97	gas is a kind of object	nongold
98	the emission of something is when something is added into the atmosphere	nongold
99	the ground is at the bottom of an area	nongold
