Question	Which two processes could result in the formation of high mountains with well-rounded peaks?	question
Answer	collision of crustal plates and erosion	answer
0	high mountains with well-rounded peaks can be formed by collision of crustal plates; erosion	gold
1	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
2	to cause the formation of means to form	gold
3	to cause means to result in	gold
4	the formation of something is a kind of process	gold
5	the formation of rock is a kind of process	nongold
6	to be formed by is to be the result of	nongold
7	crustal plate means tectonic plate	nongold
8	a mountain is a kind of landform	nongold
9	a mountain is made of rocks; soil	nongold
10	a hill is more rounded than a mountain	nongold
11	if something is made of something else then the formation of that something requires that something else	nongold
12	erosion is a kind of process	nongold
13	igneous intrusion is a kind of geologic process	nongold
14	erosion is a kind of change	nongold
15	a mountain is taller than a hill	nongold
16	weathering is a kind of erosion	nongold
17	weathering; erosion usually occurs over a period of many years	nongold
18	breaking down is a kind of forming	nongold
19	a mountain; hill is taller than the land around it	nongold
20	a process is a kind of event	nongold
21	to produce means to result in	nongold
22	hills are a kind of small mountain	nongold
23	a mountain is a kind of land feature	nongold
24	forming something is a kind of change	nongold
25	weathering is a kind of process	nongold
26	high means a lot of something	nongold
27	plate tectonics is a kind of process	nongold
28	a landform is a kind of natural formation	nongold
29	round means circular in shape	nongold
30	mountain is a kind of geographic obstacles	nongold
31	landslides often occur on mountains	nongold
32	a mountain is high in altitude	nongold
33	to happen means to occur	nongold
34	Earth's plates means tectonic plates	nongold
35	to change means to cause a change	nongold
36	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
37	soil erosion is a kind of event	nongold
38	the Appalachian Mountains are a kind of mountain	nongold
39	to form means to create	nongold
40	to be a source of something means to cause that something	nongold
41	colliding means coming into a collision	nongold
42	result means outcome	nongold
43	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
44	high is similar to increase	nongold
45	metamorphosis is a kind of process	nongold
46	to make means to form	nongold
47	to change into means to form	nongold
48	the surface of the Earth contains mountains	nongold
49	change is a kind of process	nongold
50	formation of a state of matter is a kind of process	nongold
51	to cause means to make	nongold
52	to be made of something means to be formed of that something	nongold
53	metamorphic is a kind of rock	nongold
54	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
55	creating is similar to causing	nongold
56	faulting of rock in Earth's crust causes earthquakes	nongold
57	product means result	nongold
58	metamorphic rock is a kind of rock	nongold
59	crust is similar to surface	nongold
60	a change is a kind of event	nongold
61	an event is a kind of action	nongold
62	to be formed by is similar to being produced by	nongold
63	high means great in altitude	nongold
64	highest means largest; greatest; most in height	nongold
65	to cause an event is similar to being involved in that event	nongold
66	a motion is a kind of event; action	nongold
67	sedimentary is a kind of rock	nongold
68	an increase is a kind of change	nongold
69	the crust of the Earth is similar to the surface of the Earth	nongold
70	greater means higher; more in value	nongold
71	rock is a kind of material	nongold
72	igneous is a kind of rock	nongold
73	a whole is formed by its parts	nongold
74	granite is a kind of igneous rock	nongold
75	a mountain range contains mountains	nongold
76	metamorphosed rock is a kind of rock	nongold
77	a reaction is a kind of process	nongold
78	landform means surface feature; physical feature; land feature	nongold
79	movement is a kind of change	nongold
80	the crust is a layer of the Earth	nongold
81	a rock is usually a solid	nongold
82	the continental crust is made of rock	nongold
83	to be made of means to consist of	nongold
84	to create means to make	nongold
85	breaking down into pieces is a kind of change in shape	nongold
86	composed of means made of	nongold
87	erosion is a kind of destructive force	nongold
88	the movement of tectonic plates causes volcanic eruptions	nongold
89	alteration means change	nongold
90	a source of something emits; produces; generates; provides that something	nongold
91	form means kind	nongold
92	piles of rock are a kind of landform	nongold
93	a component means a part of	nongold
94	forming is a kind of action	nongold
95	to break down means to break into smaller pieces	nongold
96	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
97	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
98	pulling is a kind of motion	nongold
99	mechanical weathering is when rocks are broken down by mechanical means	nongold
