Question	Which best describes the orbit of the Moon around Earth?	question
Answer	elliptical with a period of about one month	answer
0	a revolution of the moon around the Earth takes 1; one month	nongold
1	month is a kind of period of time	nongold
2	the moon's orbit is elliptical	gold
3	a rotation of the moon takes 1; one month	nongold
4	months are a kind of unit for measuring time	nongold
5	the moon orbiting the Earth occurs once per month	gold
6	the moon orbits the Earth	gold
7	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
8	a planet completes one orbit around its star over a period of one planetary year	nongold
9	revolving  around something means orbiting that something	nongold
10	moons orbit planets	nongold
11	the Earth revolves around the sun	nongold
12	planetary orbits are mostly elliptical	nongold
13	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
14	the moon orbiting the Earth occurs approximately 13 times per year	nongold
15	elliptical is a kind of shape	nongold
16	elliptical is a kind of shape	nongold
17	Earth is a kind of planet	nongold
18	December is a kind of month	nongold
19	August is a kind of month	nongold
20	the moon rotates on its axis	nongold
21	comet orbits are elliptical	nongold
22	monthly means once per month	nongold
23	a moon is a kind of celestial object; body	nongold
24	Celestial bodies move in orbits in space around other celestial bodies	nongold
25	June is a kind of month	nongold
26	1 month is equal to 28-31 days	nongold
27	planets orbit stars	nongold
28	each of the moon's phases occurs once per month	nongold
29	planets in the solar system orbit the Sun	nongold
30	a planet is a kind of celestial object; body	nongold
31	astronomy is the study of celestial (objects, bodies)	nongold
32	orbit means orbital path	nongold
33	1 year is equal to 12 months	nongold
34	length of time means period of time	nongold
35	the Earth rotates on its axis	nongold
36	days are a kind of unit for measuring time	nongold
37	a elliptical galaxy is a kind of galaxy	nongold
38	approximately means about	nongold
39	the Moon is Earth's moon	nongold
40	orbiting is a kind of action	nongold
41	a planet rotating causes cycles of day and night on that planet	nongold
42	to a human a time period of 1000 years or more years is considered very long	nongold
43	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
44	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
45	a moon is a kind of satellite	nongold
46	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
47	an orbit is a kind of regular path	nongold
48	astronomical body means celestial body	nongold
49	moons are large; solid; spherical	nongold
50	cycles of day and night occur once per day	nongold
51	1 year is equal to 365 days	nongold
52	a light-year is used for describing long distances	nongold
53	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
54	planets have cleared their orbits	nongold
55	Earth rotating on its axis occurs once per day	nongold
56	a full moon occurs after a waxing gibbous moon	nongold
57	period is similar to amount of time	nongold
58	the Moon completes a lunar cycle over a period of 29 days	nongold
59	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
60	the day time is part of one day	nongold
61	gravity causes orbits	nongold
62	an event is a kind of action	nongold
63	a revolution occurs when something revolves around something else	nongold
64	Mars is a kind of planet	nongold
65	years are a kind of unit for measuring time	nongold
66	a motion is a kind of event; action	nongold
67	Earth's revolution is a kind of cycle	nongold
68	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
69	a cycle happens; occurs repeatedly	nongold
70	a satellite orbits a planet	nongold
71	astronomical unit is a measure of distance between Earth and the Sun	nongold
72	a comet orbit occurs usually once per 1000.0 years	nongold
73	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
74	a new moon occurs 14 days after a full moon	nongold
75	can be means able to be	nongold
76	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
77	best means most positive	nongold
78	a star is a kind of celestial object; celestial body	nongold
79	a source of something emits; produces; generates; provides that something	nongold
80	Saturn is a kind of planet	nongold
81	a new moon is a kind of phase of the moon	nongold
82	the night time is part of one day	nongold
83	the moon is the celestial object that is closest to the  Earth	nongold
84	the Sun is a kind of star	nongold
85	annual means once per year	nongold
86	events occur at a specific place; at a specific time; with a specific frequency	nongold
87	a full moon is a kind of phase of the moon	nongold
88	moons; comets; planets are part of the solar system	nongold
89	Jupiter is a kind of planet	nongold
90	the properties of something are used for describing that something	nongold
91	measuring is used for describing an object	nongold
92	the new moon is when the dark half of the moon faces the Earth	nongold
93	Tuesday is a kind of  time	nongold
94	an asteroid is a kind of celestial object	nongold
95	the new moon is when the lighted half of the moon faces the Sun	nongold
96	as the distance of a planet from the star  it orbits increases , the length of a planetary year on that planet will increase	nongold
97	the moon rising occurs once per day	nongold
98	long means great in length	nongold
99	the sun rising; setting occurs once per day	nongold
