Question	A student riding a bicycle observes that it moves faster on a smooth road than on a rough road. This happens because the smooth road has	question
Answer	less friction	answer
0	friction causes the speed of an object to decrease	gold
1	friction causes speed to decrease	nongold
2	as roughness of a surface increases , friction will increase	nongold
3	as the roughness of something increases , the friction of that something will increase when its surface moves against another surface	gold
4	as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface	gold
5	rough is the opposite of smooth	nongold
6	riding something is to move that thing over a surface	gold
7	faster means an increase; higher in speed	gold
8	a wheeled vehicle requires smooth surfaces	nongold
9	a bicycle is a kind of object	nongold
10	less is similar to decrease	nongold
11	faster means increased rate	nongold
12	a bicycle is a kind of vehicle	gold
13	less means a reduced amount	nongold
14	riding something is a kind of movement	nongold
15	friction exerts force on moving objects	nongold
16	a road is a kind of object	gold
17	speed is a measure of how fast an object is moving	nongold
18	an increase is the opposite of a decrease	gold
19	riding is a kind of motion	nongold
20	friction causes an object to lose energy	nongold
21	to slow; to slow down decreases speed	nongold
22	distance moved; distance travelled is a measure of how far an object moves	nongold
23	a surface is a part of an object	gold
24	as kinetic energy of an object increases , that object will travel faster	nongold
25	friction occurs when two object's surfaces move against each other	nongold
26	fast is the opposite of slow	nongold
27	friction is a kind of force	nongold
28	a student is a kind of human	gold
29	a good road has a smooth surface	nongold
30	if an object accelerates then that object will go faster	nongold
31	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
32	as moisture of an object decreases , the friction of that object against another object will increase	nongold
33	friction converts mechanical energy into heat energy	nongold
34	a surface is a kind of object	nongold
35	to reduce means to decrease	nongold
36	fast means quickly	nongold
37	force causes the speed of an object to increase; to decrease	nongold
38	bike means bicycle	nongold
39	lower means less	nongold
40	as an object moves faster , the kinetic energy of that object will increase	nongold
41	an increase is a kind of change	nongold
42	moving is similar to travelling	nongold
43	a decrease is a kind of change	nongold
44	motion; movement means moving; to move	gold
45	if a wheel travels on a surface then the wheel touches that surface	nongold
46	to lower means to decrease	nongold
47	increase means more	nongold
48	friction acts to counter the motion of two objects when their surfaces are touching	gold
49	wheels; gears usually move against other surfaces	nongold
50	high speed means fast	nongold
51	as force exerted on an object increases , distance travelled will increase	nongold
52	low is similar to decrease	nongold
53	smooth is a kind of texture	nongold
54	speed is a property of an object and includes values of slow; fast	nongold
55	high is similar to increase	nongold
56	skidding causes friction	nongold
57	fastest means greatest in  speed	nongold
58	felt is high in roughness	nongold
59	walking is a kind of motion	nongold
60	friction causes the temperature of an object to increase	nongold
61	a human is a kind of animal	nongold
62	rate is similar to speed	nongold
63	counter means reduce; stop; resist	nongold
64	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	gold
65	as an object is moving down , the speed of the object  will increase	nongold
66	road is similar to ground	nongold
67	sometimes weathering smooths; rounds rocks	nongold
68	travel means to move	nongold
69	an animal is a kind of living thing	nongold
70	as the speed of an object increases , the force that object exerts will increase	nongold
71	a motion is a kind of event; action	nongold
72	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
73	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
74	a living thing is a kind of object	nongold
75	less is the opposite of more	nongold
76	a surface is a part of a material	nongold
77	a vehicle is a kind of object	gold
78	humans ride vehicles	gold
79	heat means heat energy	nongold
80	motion is a source of kinetic energy in an object	nongold
81	slowest means lowest in  speed	nongold
82	reducing is similar to slowing	nongold
83	a velocity is a measure of a speed in a direction	nongold
84	a bicycle is made of levers, wheels and axles, pulleys, and screws	nongold
85	sliding is a kind of motion	nongold
86	a force acting on an object in the opposite direction that the object is moving can cause that object's speed to decrease in a forward motion	nongold
87	skidding causes speed to decrease	nongold
88	change is a kind of impact	nongold
89	motion is when moves an object; something to a direction	nongold
90	a vehicle is a kind of tool for travel; transport	nongold
91	asphalt is a smooth surface	nongold
92	as the cause of something decreases , that something will decrease	nongold
93	temperature is a measure of heat energy	nongold
94	if someone walks on a surface then that someone touches that surface	nongold
95	as the  amount of heat energy of a substance; of an object decreases , the amount of kinetic energy will decrease	nongold
96	speed up means increase	nongold
97	an animal requires energy to move	nongold
98	pushing on the pedals of a bike cause that bike to move	nongold
99	changes potential energy into kinetic energy through motion	nongold
