Question	As the human population increases, more fossil fuels are being used. The burning of fossil fuels produces greenhouse gases. How might humans reduce greenhouse gases?	question
Answer	Use renewable resources to generate power.	answer
0	using renewable resources to generate power reduces greenhouse gases	gold
1	generate means produce	nongold
2	fossil fuels are a kind of energy resource	nongold
3	to power means to provide energy for	nongold
4	as the use of renewable resources use of renewable resources increases , use of nonrenewable resources will decrease	nongold
5	fossil fuels are a nonrenewable resource	nongold
6	fossil fuels burning causes pollution	nongold
7	a source of something emits; produces; generates; provides that something	nongold
8	to use means to utilize	nongold
9	producing renewable electric energy requires renewable resources	nongold
10	burning fossil fuels increases the carbon in the atmosphere	nongold
11	generating power is a kind of positive impact	nongold
12	resources sometimes are used for energy	nongold
13	as available resources increases , the population of an organism that uses those resources will increase	nongold
14	fire causes burning	nongold
15	a fossil fuel is a kind of natural resource	nongold
16	gases released during the use of fossil fuels causes global warming	nongold
17	carbon dioxide is a kind of greenhouse gas	nongold
18	as a population of organisms decreases , the resources used by those organisms will increase	nongold
19	a human is a kind of animal	nongold
20	to be used for something means to be required by that something	nongold
21	renewable is the opposite of nonrenewable	nongold
22	an energy source is a kind of resource	nongold
23	if something is powered by something else then that something requires a source of that something else	nongold
24	as a population of organisms increases , the resources used by those organisms will decrease	nongold
25	producing electricity sometimes requires burning oil	nongold
26	burning is a kind of action	nongold
27	consumption means use	nongold
28	natural gas is used for generating electricity by burning in a power plant	nongold
29	oil is a kind of fossil fuel	nongold
30	if something causes an increase in something else then that something produces that something else	nongold
31	powering is similar to fueling	nongold
32	converting is similar to generating	nongold
33	as the use of something decreases , the use of the source of that something will decrease	nongold
34	renewable resources are often available for many years	nongold
35	if something releases something else then that something is the source of that something else	nongold
36	to reduce means to decrease	nongold
37	a producer is a kind of living thing	nongold
38	using resources decreases those resources	nongold
39	increase means more	nongold
40	fuel is a kind of energy source	nongold
41	carbon dioxide is a kind of gas	nongold
42	as a resource required by an organism decreases , the population of that organism will decrease	nongold
43	oil is a kind of energy resource	nongold
44	a renewable resource is a kind of natural resource	nongold
45	a renewable resource is a kind of naturally replaced resource	nongold
46	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
47	if something generates energy for something else then that something powers that something else	nongold
48	converting is similar to producing	nongold
49	producing is a kind of process	nongold
50	natural gas is a kind of fossil fuel	nongold
51	if something causes a process then that something is required for that process	nongold
52	fossil fuels release carbon dioxide into the atmosphere	nongold
53	oil is a nonrenewable resource	nongold
54	human is a kind of organism	nongold
55	to provide something means to be the source of that something	nongold
56	if something is required for a process then that something positively impacts that process	nongold
57	causing is similar to generating	nongold
58	emit means produce	nongold
59	natural gas is a nonrenewable resource	nongold
60	oil is used for producing electricity	nongold
61	electricity means electrical energy	nongold
62	person is synonymous with human	nongold
63	if something requires something else then that something requires a source of that something else	nongold
64	fossil fuels have high potential energy	nongold
65	if something releases something else then that something else decreases in that something	nongold
66	greenhouse gases are a part of the atmosphere	nongold
67	a source of something increases the amount of that something	nongold
68	to produce means to provide	nongold
69	using the fuel requires burning the fuel	nongold
70	renewable resources can be used over again	nongold
71	less is similar to decrease	nongold
72	humans cause pollution	nongold
73	an inexhaustible resource is a kind of renewable resource	nongold
74	if something comes from something else then that something else is a source of that something	nongold
75	fossil fuel contains chemical energy	nongold
76	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
77	petroleum is a kind of fossil fuel	nongold
78	an event is a kind of action	nongold
79	alternative fuel is usually a renewable resource	nongold
80	the greenhouse effect is when carbon in the air heats a planet's atmosphere	nongold
81	to depend on; to rely on; to need means to require	nongold
82	green plants are a kind of producer	nongold
83	greenhouse gases building up can cause global warming	nongold
84	a producer is a source of energy for consumers	nongold
85	to combust means to catch fire	nongold
86	if something emits something else then that something increases the amount of that something else	nongold
87	if something is a raw material in a process then that something is required for that process	nongold
88	as the use of alternative fuels increases , the use of gasoline will decrease	nongold
89	a process is a kind of event	nongold
90	fuel is a source of energy	nongold
91	if an organism dies then the population of that organism will decrease	nongold
92	natural gas is used for generating heat by burning in a furnace; in a stove	nongold
93	if something is a raw material then that something comes directly from a source	nongold
94	natural gas is a source of heat by burning	nongold
95	something is used for that something's purpose	nongold
96	burning a living thing usually causes harm to that living thing	nongold
97	an increase is the opposite of a decrease	nongold
98	a part of a process means a stage in a process	nongold
99	negative impact is the opposite of positive impact	nongold
