Question	Which of the following is a renewable resource?	question
Answer	sunlight	answer
0	solar energy is a renewable; inexhaustible resource	gold
1	a renewable resource is a kind of natural resource	nongold
2	renewable is the opposite of nonrenewable	nongold
3	a renewable resource is a kind of naturally replaced resource	nongold
4	sunlight means solar energy	nongold
5	sunlight is a kind of solar energy	gold
6	a  plant requires sunlight for photosynthesis	nongold
7	trees are a renewable resource	nongold
8	sunshine means sunlight	nongold
9	fossil fuels are a kind of energy resource	nongold
10	the sun is the source of solar energy called sunlight	nongold
11	a fossil fuel is a kind of natural resource	nongold
12	fossil fuels are a nonrenewable resource	nongold
13	an inexhaustible resource is a kind of renewable resource	nongold
14	wind is a renewable; inexhaustible resource	nongold
15	solar energy is an inexhaustible resource	nongold
16	sunlight produces heat	nongold
17	animals are a renewable resource	nongold
18	wood is a renewable resource	nongold
19	natural gas is a nonrenewable resource	nongold
20	a renewable resource can be renewed	nongold
21	solar power means solar energy	nongold
22	sunlight is a kind of light	nongold
23	plants are a kind of resource	nongold
24	oil is a nonrenewable resource	nongold
25	a renewable resource can be replaced	nongold
26	water is a renewable resource	nongold
27	a  plant requires sunlight to  grow	nongold
28	geothermal energy is a renewable resource	nongold
29	soil is a renewable resource for growing plants	nongold
30	green plants are a kind of producer	nongold
31	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
32	a biofuel is a kind of alternative energy resource	nongold
33	producing renewable electric energy requires renewable resources	nongold
34	vegetable oil is a renewable resource	nongold
35	solar energy is a kind of energy	nongold
36	the sun is a source of light; light energy called sunlight	nongold
37	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
38	tidal energy is a renewable resource	nongold
39	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
40	nature is the source of natural resources	nongold
41	solar energy is a kind of heat energy	nongold
42	an energy source is a kind of resource	nongold
43	daylight means sunlight	nongold
44	solar energy is a kind of light	nongold
45	renewable resources are often available for many years	nongold
46	natural resources are found in nature	nongold
47	fossil fuels have high potential energy	nongold
48	biomass is a renewable resource	nongold
49	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
50	a source of something emits; produces; generates; provides that something	nongold
51	natural gas is a kind of fossil fuel	nongold
52	a tree requires sunlight to grow	nongold
53	oil is a kind of fossil fuel	nongold
54	renewable resources are replenished more quickly than they are used	nongold
55	renewable resources can be used over again	nongold
56	sunlight can be found in the top 100 meters of the ocean	nongold
57	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
58	alternative fuel is usually a renewable resource	nongold
59	plants are a source of biofuel	nongold
60	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
61	a producer is a source of energy for consumers	nongold
62	trees are a kind of resource	nongold
63	resources sometimes are used for energy	nongold
64	the sunlight occurs during the day	nongold
65	a producer is a kind of living thing	nongold
66	high is similar to increase	nongold
67	a plant is a kind of organism	nongold
68	trees are a kind of natural resource	nongold
69	provide is similar to give; make	nongold
70	wave energy is a renewable resource	nongold
71	answering questions requires information	nongold
72	intensity of sunlight is similar to amount of sunlight	nongold
73	a type is synonymous with a kind	nongold
74	oil is a kind of energy resource	nongold
75	to conserve means to not change	nongold
76	wood is a kind of energy resource	nongold
77	to receive sunlight means to absorb sunlight	nongold
78	to add means to increase	nongold
79	emit means produce	nongold
80	greatest means largest; highest; most amount of something	nongold
81	affected means changed	nongold
82	to be in the sun means to be in the sunlight	nongold
83	a tree is a kind of plant	nongold
84	if something requires something else then that something requires a source of that something else	nongold
85	to provide something means to be the source of that something	nongold
86	make means produce	nongold
87	to be used for something means to be required by that something	nongold
88	can be means able to be	nongold
89	to be formed by is similar to being produced by	nongold
90	being in the sun is synonymous with being in the sunlight	nongold
91	to depend on; to rely on; to need means to require	nongold
92	the amount of daylight is greatest in the summer	nongold
93	the sun is a source of radiation; heat called sunlight	nongold
94	where something  comes from is a source of that something	nongold
95	to create means to make	nongold
96	made up of means contains; made of	nongold
97	a nonrenewable resource is limited in supply	nongold
98	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
99	person is synonymous with human	nongold
