Question	A student uses the following characteristics to describe a group of objects in space. * 200 billion stars * 30 million light years from Earth * 500 light years in diameter Which of the following is the student most likely describing?	question
Answer	a galaxy	answer
0	a galaxy is made of a group of objects in space	gold
1	a galaxy is a kind of celestial body; celestial object	nongold
2	a galaxy is made of stars	nongold
3	a galaxy is a kind of celestial body	nongold
4	galaxies are usually thousands of light years in diameter	gold
5	a galaxy is a kind of very large system of stars	nongold
6	a typical galaxy contains billions of stars	nongold
7	a galaxy contains dust; stars; planets	nongold
8	a galaxy is a kind of structure	nongold
9	galaxies are located  millions of light years from Earth	gold
10	galaxies often contain hundreds of billions of stars	gold
11	a star is a kind of celestial object; celestial body	gold
12	a light-year is used for describing long distances	nongold
13	the properties of something are used for describing that something	nongold
14	a student is a kind of human	nongold
15	a billion is a kind of  number	nongold
16	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
17	classifying means grouping objects; materials by their properties	nongold
18	galaxies can be classified  by shape	nongold
19	a galaxy is held together by gravity	nongold
20	Earth is a kind of planet	nongold
21	to belong to a group means to be a kind of something	nongold
22	the properties of something can be used to identify; used to describe that something	nongold
23	celestial bodies; celestial objects are found in space	gold
24	astronomy is the study of celestial (objects, bodies)	nongold
25	measuring is used for describing an object	nongold
26	a spiral galaxy is a kind of galaxy	nongold
27	stars are located light years apart from each other	nongold
28	celestial objects are located in outer space	nongold
29	a human is a kind of animal	nongold
30	a elliptical galaxy is a kind of galaxy	nongold
31	sunlight is a kind of light	nongold
32	a planet is a kind of celestial object; body	nongold
33	characteristic means property	nongold
34	feature is synonymous with characteristic	nongold
35	years are a kind of unit for measuring time	nongold
36	distance is a property of space and includes ordered values of close; far	nongold
37	stellar means related to stars	nongold
38	a part of something means a characteristic of something	nongold
39	what an object is made of is a kind of characteristic	nongold
40	the Andromeda galaxy is 2.5 million light years closer	nongold
41	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
42	classifying is when one sorts something by kind; type	nongold
43	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
44	often is similar to likely	nongold
45	a star is formed by collapsing clouds of gas and dust	nongold
46	a kind of something is an example of that something	nongold
47	the location of an object can be used to describe that object	nongold
48	meters;centimeters;kilometers are used to describe distance; describe length	nongold
49	the sky is similar to space	nongold
50	a landform is a kind of object	nongold
51	a cluster of stars is made of stars	nongold
52	the sun is average in size for a star in our galaxy	nongold
53	a star requires energy	nongold
54	a description sometimes provides information	nongold
55	answering questions requires information	nongold
56	a type is synonymous with a kind	nongold
57	an object has properties	nongold
58	some celestial bodies rotate in space	nongold
59	a star is made of gases	nongold
60	an irregular galaxy is a kind of galaxy	nongold
61	size; amount of space means volume	nongold
62	a structure is a kind of feature	nongold
63	together means in a group	nongold
64	diameter is a measure of length through the center of a circle	nongold
65	Earth is located in the Milky Way Galaxy	nongold
66	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
67	length is a part of size	nongold
68	a star produces light and heat	nongold
69	shape is a kind of characteristic	nongold
70	studying  something usually requires seeing that something	nongold
71	something's function can be used to describe; identify that something	nongold
72	a star is a source of light; light energy through nuclear reactions	nongold
73	objects are made of materials; substances; matter	nongold
74	most means over 50% of something	nongold
75	A celestial body is any identifiable object in space	nongold
76	can be means able to be	nongold
77	Celestial bodies move in orbits in space around other celestial bodies	nongold
78	the Milky Way galaxy appears as a glowing band across the night sky	nongold
79	an increase is a kind of change	nongold
80	astronomy is a kind of branch of science	nongold
81	a source of something emits; produces; generates; provides that something	nongold
82	classifying requires comparing	nongold
83	decades are a kind of unit for measuring time	nongold
84	high is similar to increase	nongold
85	a halo is a part of a galaxy	nongold
86	wider means greater in width	nongold
87	a structure of something is synonymous with a part of that something	nongold
88	information is used to describe something	nongold
89	trait is synonymous with characteristic	nongold
90	astronomical body means celestial body	nongold
91	gas is a kind of object	nongold
92	to create means to make	nongold
93	an object is made of its parts	nongold
94	massive means great in mass	nongold
95	system means a set of objects	nongold
96	the Sun is a kind of star	nongold
97	a living thing is a kind of object	nongold
98	small stars burn for billions of years	nongold
99	a star's type is determined by the star's mass	nongold
