Question	Which of the following is produced when sugar is digested in an animal cell?	question
Answer	carbon dioxide.	answer
0	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
1	an animal cell is a kind of cell	gold
2	digestion is when stomach acid breaks down food	nongold
3	to digest means to break down food	nongold
4	sugar is a kind of food	nongold
5	a stomach is a part of a human's; animal's digestive system for the digestion of proteins	nongold
6	the digestive system digests food for the body	nongold
7	an animal is a kind of living thing	nongold
8	an organism breaking down sugar is a source of carbon dioxide; water	nongold
9	an animal is a kind of organism	nongold
10	a source of something emits; produces; generates; provides that something	nongold
11	sugar is a kind of pure substance	nongold
12	digestion is when food is absorbed into the blood stream	nongold
13	a cell produces carbon dioxide for waste	nongold
14	the digestive system breaks down food into nutrients for  the body	nongold
15	carbon dioxide is a kind of gas	nongold
16	a producer is a source of sugar; food energy in an ecosystem	nongold
17	digestion of proteins occurs in the stomach; small intestine	nongold
18	digestion is a kind of bodily process	nongold
19	nutrients are a kind of substance	nongold
20	animals are a source of carbon dioxide by exhaling	nongold
21	a human cell is a kind of cell	nongold
22	the stomach is a part of the  digestive system	nongold
23	emit means produce	nongold
24	to be formed by is similar to being produced by	nongold
25	In the cellular respiration; animal respiration process carbon dioxide is a waste product	gold
26	converting is similar to producing	gold
27	an animal; living thing requires nutrients for survival	nongold
28	producing is similar to releasing	nongold
29	an organism is a living thing	nongold
30	food is a kind of substance	nongold
31	a cell is very small	nongold
32	producing is similar to causing	nongold
33	sugar is made of carbon, hydrogen, oxygen	nongold
34	a food contains nutrients for living things	nongold
35	cellular respiration is cellular digestion	gold
36	an animal needs to eat food for nutrients	nongold
37	make means produce	nongold
38	a living thing is made of cells	nongold
39	a cell absorbs nutrients	nongold
40	a small intestine is a part of a human's; animal's digestive system for the digestion of proteins	nongold
41	the digestive system is a kind of body; human system	nongold
42	a producer is a kind of living thing	nongold
43	organisms are made of carbon	nongold
44	to eat means to consume food	nongold
45	produce is similar to release	nongold
46	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
47	a human is a kind of animal	nongold
48	the breaking down of food into simple substances occurs in the digestive system	nongold
49	diet means what an animal eats	nongold
50	to produce means to provide	nongold
51	the mouth is a part of the digestive system used for eating	nongold
52	a nutrient is a kind of object	nongold
53	products are formed; are produced; are created	nongold
54	food is what an animal eats	nongold
55	a cell is a kind of object	nongold
56	carbohydrates are made of sugars	gold
57	to give off means to be the source of	nongold
58	sugar is a kind of solid	nongold
59	animal cells can  not perform photosynthesis	nongold
60	the intestines are a part of the digestive system	nongold
61	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	gold
62	the digestive system is a kind of body; organ system	nongold
63	an organism breaks down sugar to release energy	nongold
64	sugary means high in sugar	nongold
65	the small intestine is a part of the digestive system	nongold
66	to emit means to release	nongold
67	converting is similar to releasing	nongold
68	to add means to increase	nongold
69	CO2 means carbon dioxide	nongold
70	table sugar is a kind of sugar	nongold
71	carbon dioxide can be found in the air	nongold
72	provide is similar to give; make	nongold
73	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
74	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
75	a liver is a part of an animal used in  digestion	nongold
76	cells are a part of the body	nongold
77	producing is a kind of process	nongold
78	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
79	breathing is when animals convert oxygen into carbon dioxide	nongold
80	to give is similar to to cause	nongold
81	an animal; bacterium requires oxygen for survival; to breathe	nongold
82	glucose is a kind of substance	nongold
83	all animals breathe	nongold
84	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
85	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
86	to cause means to make	nongold
87	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
88	composed of means made of	nongold
89	to contribute is similar to produce	nongold
90	gas is a kind of substance	nongold
91	the colon is a part of the digestive system	nongold
92	sugar is a kind of  simple carbohydrate	nongold
93	a plant cell is a kind of cell	nongold
94	a plant; living thing requires food for survival	nongold
95	nutrients are a kind of matter	nongold
96	metabolism is the sum of all chemical reactions in an animal's body	nongold
97	to exhale means to release	nongold
98	made of is similar to contains	nongold
99	a living thing is a kind of object	nongold
