Question	Stars are organized into patterns called constellations. One constellation is named Leo. Which statement best explains why Leo appears in different areas of the sky throughout the year?	question
Answer	Earth revolves around the sun.	answer
0	the Earth revolves around the sun	nongold
1	Leo is a kind of constellation	gold
2	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	gold
3	throughout means over	nongold
4	the Sun is a kind of star	nongold
5	a star is a kind of celestial object; celestial body	nongold
6	Earth is a kind of planet	nongold
7	revolving  around something means orbiting that something	nongold
8	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
9	the Earth rotates on its axis	nongold
10	a revolution occurs when something revolves around something else	nongold
11	a constellation contains stars	gold
12	cycle is similar to pattern	nongold
13	setting is a kind of motion	nongold
14	revolving is a kind of motion	nongold
15	area is similar to location	nongold
16	annual means once per year	nongold
17	events occur at a specific place; at a specific time; with a specific frequency	nongold
18	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
19	to change means to become different	nongold
20	Celestial bodies move in orbits in space around other celestial bodies	nongold
21	the sun sets in the west	nongold
22	some celestial bodies rotate in space	nongold
23	Earth's rotation causes time zones	nongold
24	the sun is not a star in the night sky	nongold
25	the sun rises in the east	nongold
26	stars are located light years apart from each other	nongold
27	cycles of day and night occur once per day	nongold
28	if something moves then that something is in a different location	nongold
29	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
30	place means area	nongold
31	planets in the solar system orbit the Sun	nongold
32	the sun rising and setting causes cycles of day and night	nongold
33	classifying is when one sorts something by kind; type	nongold
34	each season occurs once per year	nongold
35	best means most positive	nongold
36	Earth orbiting the Sun causes seasons to change	nongold
37	rotation is a kind of motion	nongold
38	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
39	being around something means surrounding  that something	nongold
40	the sky is similar to space	nongold
41	a motion is a kind of event; action	nongold
42	the sun is a source of light; light energy called sunlight	nongold
43	yearly means every year	nongold
44	a light-year is used for describing long distances	nongold
45	different seasons occur during different times of the year	nongold
46	a region is a kind of location	nongold
47	Earth rotating on its axis occurs once per day	nongold
48	organizing is sorting something by their properties in order	nongold
49	astronomy is the study of celestial (objects, bodies)	nongold
50	Earth's revolution is a kind of cycle	nongold
51	a star produces light and heat	nongold
52	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
53	the sun rising; setting occurs once per day	nongold
54	occur is similar to appear	nongold
55	light year is a measure of the distance light travels in one year	nongold
56	a star is a source of light; light energy through nuclear reactions	nongold
57	a type is synonymous with a kind	nongold
58	a source of something emits; produces; generates; provides that something	nongold
59	the sun setting is a kind of event	nongold
60	opposite is a kind of different	nongold
61	diurnal motion is when  objects in the sky appear  to move due to Earth's rotation on its axis	nongold
62	sunlight is a kind of light	nongold
63	an environment means an area	nongold
64	different is the opposite of the same	nongold
65	region means place	nongold
66	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
67	another means different	nongold
68	years are a kind of unit for measuring time	nongold
69	movements of celestial bodies are a kind of event	nongold
70	rising is a kind of motion	nongold
71	the sun rising is a kind of event	nongold
72	revolving is a kind of action	nongold
73	contains means located in	nongold
74	celestial bodies; celestial objects are found in space	nongold
75	if it is night then the sun has set	nongold
76	answering questions requires information	nongold
77	classifying means grouping objects; materials by their properties	nongold
78	a cycle is a kind of process	nongold
79	a planet rotating causes cycles of day and night on that planet	nongold
80	move around means revolve	nongold
81	local means relating to a certain area	nongold
82	a rotation is a kind of movement	nongold
83	a cycle happens; occurs repeatedly	nongold
84	to happen means to occur	nongold
85	event is similar to occurrence	nongold
86	an event is a kind of action	nongold
87	Scorpio is a kind of constellation	nongold
88	composed of means made of	nongold
89	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
90	a state is a kind of place	nongold
91	can be means able to be	nongold
92	distance is a property of space and includes ordered values of close; far	nongold
93	where something  comes from is a source of that something	nongold
94	an object is made of its parts	nongold
95	increase means more	nongold
96	to be made of something means to be formed of that something	nongold
97	a planet completes one orbit around its star over a period of one planetary year	nongold
98	all the time means at day and at night	nongold
99	to be made of means to consist of	nongold
