Question	What is the MAJOR role of the Sun in the water cycle?	question
Answer	It causes evaporation.	answer
0	role means function	nongold
1	purpose means role	nongold
2	evaporation is a stage in the water cycle process	gold
3	evaporation is when water is drawn back up into the air in the water cycle	nongold
4	part means role	nongold
5	water absorbs solar energy in the water cycle	gold
6	the sun is the source of solar energy called sunlight	nongold
7	the function of something is what that something  is used to do	nongold
8	the Sun is a kind of star	nongold
9	the sun  is the source of energy for physical cycles on Earth	nongold
10	sunlight produces heat	nongold
11	In the water cycle , condensation always follows evaporation	nongold
12	the sun is a source of light; light energy called sunlight	nongold
13	a cycle is a kind of process	nongold
14	evaporation is a kind of process	nongold
15	An example of a physical cycle is the water cycle	nongold
16	In the water cycle , evaporation always follows collection in bodies of water	nongold
17	something is used for that something's purpose	nongold
18	sunlight means solar energy	nongold
19	sunlight is a kind of light	nongold
20	the water cycle occurs on Earth	nongold
21	to be a source of something means to cause that something	nongold
22	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
23	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	gold
24	a star is a kind of celestial object; celestial body	nongold
25	a part of a process means a stage in a process	nongold
26	sunlight is a kind of solar energy	nongold
27	sunshine means sunlight	nongold
28	to cause means to be responsible for	nongold
29	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
30	heat means heat energy	nongold
31	the sun rising and setting causes cycles of day and night	nongold
32	the sun is a source of radiation; heat called sunlight	nongold
33	the sun causes water to evaporate more quickly by adding heat	gold
34	solar energy is a kind of heat energy	nongold
35	role is similar to importance	nongold
36	a source of something emits; produces; generates; provides that something	nongold
37	if something causes a process then that something is required for that process	nongold
38	temperature is a measure of heat energy	nongold
39	role means niche	nongold
40	a moon is a kind of celestial object; body	nongold
41	to be involved in something means to have a role in something	nongold
42	producer is a kind of role in the food chain process; in an ecosystem	nongold
43	if something emits something else then that something increases the amount of that something else	nongold
44	a cycle happens; occurs repeatedly	nongold
45	evaporation causes amount of water to decrease	nongold
46	causing is a kind of function	nongold
47	precipitation is a stage in the water cycle process	nongold
48	water is a kind of substance	nongold
49	function is similar to purpose	nongold
50	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
51	cycles of day and night occur once per day	nongold
52	water is a kind of liquid at room temperature	gold
53	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
54	a step in a process means a stage in a process	nongold
55	a star produces light and heat	nongold
56	to be a vehicle for is a kind of function	nongold
57	to have a function is similar to to be responsible for	nongold
58	a source of something increases the amount of that something	nongold
59	a  plant requires sunlight for photosynthesis	nongold
60	a planet is a kind of celestial object; body	nongold
61	a role in the ecosystem is a role in the food chain process	nongold
62	the sunlight occurs during the day	nongold
63	condensation is a stage in the water cycle process	nongold
64	water is a kind of water phase	nongold
65	Earth is a kind of planet	nongold
66	if something comes from something else then that something else is a source of that something	nongold
67	the Earth revolves around the sun	nongold
68	Earth's revolution is a kind of cycle	nongold
69	evaporating is a kind of phase change	nongold
70	the sun rising; setting occurs once per day	nongold
71	if something performs a task then that task is that something's function	nongold
72	the sun is the source of energy for life on Earth	nongold
73	if something transfers something else then that something is a source of something else	nongold
74	where something  comes from is a source of that something	nongold
75	a process usually requires all of the stages in that process	nongold
76	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
77	causing means influencing	nongold
78	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	gold
79	a planet is exposed to the heat of the star around which it revolves	nongold
80	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
81	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
82	the nitrogen cycle is a cyclical process, with stages of nitrogen fixation, nitrification, assimilation, ammonification, denitrification	nongold
83	the sun is a kind of yellow dwarf	nongold
84	producing is similar to causing	nongold
85	red giant is a kind of stage in the life cycle of a star	nongold
86	producing is a kind of function	nongold
87	a component of something means a part of that something	nongold
88	an event is a kind of action	nongold
89	green plants are a kind of producer	nongold
90	solar energy is a kind of light	nongold
91	causing is a kind of affecting	nongold
92	to cause something means to contribute to that something happening	nongold
93	to add means to increase	nongold
94	An example of evaporation is a body of water drying up by absorbing heat energy	nongold
95	a component means a part of	nongold
96	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
97	a liquid is a kind of substance	nongold
98	In the water cycle , precipitation can follow condensation	nongold
99	if something is required for a process then that something positively impacts that process	nongold
