Question	Which of these is not an inherited trait in humans?	question
Answer	intelligence	answer
0	inherited characteristics are the opposite of learned characteristics; acquired characteristics	gold
1	intelligence is an acquired characteristic	gold
2	personality is an acquired characteristic	nongold
3	human is a kind of organism	nongold
4	an inherited characteristic is a kind of characteristic	nongold
5	a human is a kind of animal	nongold
6	trait is synonymous with characteristic	gold
7	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
8	a learned characteristic is a kind of acquired characteristic	nongold
9	an animal is a kind of organism	nongold
10	not is similar to the opposite of	nongold
11	senses are an inherited characteristic	nongold
12	ability is a kind of characteristic	nongold
13	an animal is a kind of living thing	nongold
14	unique  is the opposite of diverse	nongold
15	a type is synonymous with a kind	nongold
16	a part of something means a characteristic of something	nongold
17	an organism is a living thing	nongold
18	blood type is an inherited characteristic	nongold
19	human is similar to individual	nongold
20	person is synonymous with human	nongold
21	the color of; coloration of fur is an inherited characteristic	nongold
22	reproductive behavior is an inherited characteristic	nongold
23	children; young is synonymous with offspring	nongold
24	characteristic means property	nongold
25	species is an inherited characteristic	nongold
26	eye color is an inherited characteristic	nongold
27	the condition of parts of an organism are acquired characteristics	nongold
28	what an object is made of is a kind of characteristic	nongold
29	genes are able to determine the inherited characteristics of a living thing	nongold
30	learned behaviors are learned over the  lifetime of the animal	nongold
31	a human is a kind of mammal	nongold
32	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
33	skills are learned characteristics; behaviors	nongold
34	a living thing is a kind of object	nongold
35	mammals is a kind of class	nongold
36	the colors of parts of an organism are inherited characteristics	nongold
37	a behavior is a kind of characteristic	nongold
38	a brain is a part of an animal	nongold
39	the number of body parts of an organism is an inherited characteristic	nongold
40	genetic; hereditary means of genes; heredity	nongold
41	sound of voice is an inherited characteristic	nongold
42	the shape of body parts is an inherited characteristic	nongold
43	feature is synonymous with characteristic	nongold
44	conditioned behavior is a kind of learned behavior	nongold
45	the length of body parts is an inherited characteristic	nongold
46	a person is a kind of animal	nongold
47	trait means property	nongold
48	the  diet of an animal is an inherited characteristic	nongold
49	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
50	inherited characteristics are a kind of hereditary information	nongold
51	the size of an organism is an inherited characteristic	nongold
52	a child is a kind of young human	nongold
53	each is similar to individual	nongold
54	answering questions requires information	nongold
55	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
56	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
57	preferences are generally learned characteristics	nongold
58	sense is a kind of characteristic of an animal	nongold
59	style is an acquired characteristic	nongold
60	physical fitness is an acquired characteristic	nongold
61	an ear is a kind of body part	nongold
62	a structure of something is synonymous with a part of that something	nongold
63	a dog is a kind of animal	nongold
64	a baby is the offspring of a parent	nongold
65	a baby is the offspring of a parent	nongold
66	a plant is a kind of organism	nongold
67	a cat is a kind of animal	nongold
68	living things can all reproduce	nongold
69	the brain is a part of the body	nongold
70	identical means copy	nongold
71	an allele is a kind of gene	nongold
72	Anna is a name for a human	nongold
73	to impact means to affect	nongold
74	coloration means a thing's color	nongold
75	antler growth is an inherited characteristic	nongold
76	freckles are an inherited characteristic	nongold
77	traits can be determined by one pair; many pairs of genes in an organism	nongold
78	a mammal is a kind of animal	nongold
79	animals learn some behaviors from watching their parents	nongold
80	animal instinct means instinctive behavior	nongold
81	parents produce offspring	nongold
82	an animal; living thing requires nutrients for survival	nongold
83	a scar is an acquired characteristic	nongold
84	affected means changed	nongold
85	height is an inherited characteristic	nongold
86	offspring receives half of the genes from each parent	nongold
87	to reproduce means to have; to produce offspring	nongold
88	inability is the opposite of ability	nongold
89	both means two	nongold
90	the thickness of the parts of an organism is an inherited characteristic	nongold
91	the head is a part of an animal	nongold
92	curly hair is an inherited characteristic	nongold
93	eyes are a part of a human for seeing	nongold
94	a face is often a part of an animal	nongold
95	a source of something emits; produces; generates; provides that something	nongold
96	genotype of  an organism means the genes of  an organism	nongold
97	the ability to grow is a kind of trait	nongold
98	an allele is formed by mutation	nongold
99	high is similar to increase	nongold
