Question	Which statement best describes the organization of the Periodic Table of the Elements?	question
Answer	Elements within a group have similar properties.	answer
0	the periodic table is systematically organized according to the structure of the atoms of the elements	gold
1	elements in the same group on the Periodic Table of Elements have similar properties	gold
2	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
3	what something is made of is a property of the organization or that something	nongold
4	the properties of something are used for describing that something	nongold
5	if two objects are similar , then the two objects share properties	nongold
6	the nitrogen family is a kind of group in periodic table	nongold
7	a group; family in the periodic table means a column in the periodic table	nongold
8	the Periodic Table is a table displays elements	nongold
9	the periodic table is arranged in rows and columns	nongold
10	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	nongold
11	organizing is sorting something by their properties in order	nongold
12	to belong to a group means to be a kind of something	nongold
13	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
14	an  element is a kind of atom	nongold
15	substances have chemical properties	nongold
16	an element is made of one kind of atoms	nongold
17	an object has properties	nongold
18	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
19	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	nongold
20	classifying means grouping objects; materials by their properties	nongold
21	a physical property is a kind of property	nongold
22	electron configuration is a property of elements	nongold
23	a  chemical property is a kind of  property	nongold
24	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
25	together means in a group	nongold
26	matter; materials; substances are made of atoms; particles	nongold
27	a table is a kind of object	nongold
28	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
29	to be characterized by  a property means to have that property	nongold
30	atomic number is a property of elements	nongold
31	a chemical property is the opposite of a physical property	nongold
32	different types of matter have different chemical properties	nongold
33	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
34	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
35	chemical composition is a kind of property	nongold
36	to be made of means to consist of	nongold
37	if something is made of something else then that something can be broken down into that something else	nongold
38	a Periodic Table is a kind of scientific  model	nongold
39	to belong to a group means to be classified in that group	nongold
40	substances are made of elements	nongold
41	a property is similar to a factor	nongold
42	composition is a property of an object; matter	nongold
43	composed of means made of	nongold
44	state of matter is a kind of physical property	nongold
45	to group means to separate	nongold
46	the outer electron shell is a part of the electron configuration	nongold
47	carbon is a kind of element	nongold
48	a type of something is a kind of property of that something	nongold
49	different materials usually have different properties	nongold
50	oxygen  is a kind of element	nongold
51	an atom is the smallest particle; unit that has the properties of an element	nongold
52	classifying is when one sorts something by kind; type	nongold
53	atoms are made of particles	nongold
54	can be means able to be	nongold
55	an element is a kind of  substance	nongold
56	material composition is a kind of chemical property	nongold
57	substances are made of matter	nongold
58	materials are made of matter	nongold
59	nitrogen is a kind of element	nongold
60	a source of something emits; produces; generates; provides that something	nongold
61	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
62	structure is a property of an object; a material; a substance	gold
63	similarity means the same property	nongold
64	all elements are a kind of pure substance	nongold
65	increasing is a kind of order	nongold
66	form means kind	nongold
67	the atomic number of elements increases by 1 from left to right on a row on the periodic table	nongold
68	forming something is a kind of change	nongold
69	the majority of the elements on the periodic table are metals	nongold
70	the basic unit of matter is atom	nongold
71	to be made of something means to be formed of that something	nongold
72	to create means to make	nongold
73	An example of a chemical property is the elements a compound is made of	nongold
74	metals are found on the left side of the periodic table of elements	nongold
75	atom cannot be divided into smaller substances	nongold
76	particles in objects are a kind of matter	nongold
77	hydrogen is a kind of element	nongold
78	made up of means contains; made of	nongold
79	a type is synonymous with a kind	nongold
80	aspect is similar to property	nongold
81	no longer means used to be	nongold
82	what something needs is a property of that something	nongold
83	to produce means to create	nongold
84	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
85	coming together means forming a group	nongold
86	Fluorine(F); Chlorine(Cl); Bromine(Br); Iodine(I); Astatine(At) is located in halogens family; group 17 on the periodic table	nongold
87	best means most positive	nongold
88	to belong to a class means to be a kind of something	nongold
89	state means form	nongold
90	the properties of something can be used to identify; used to describe that something	nongold
91	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
92	a property is a kind of information	nongold
93	objects are made of materials; substances; matter	nongold
94	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
95	physical state means state of matter	nongold
96	a table is hard	nongold
97	matter is made of molecules	nongold
98	measuring is used for describing an object	nongold
99	separate is similar to break down	nongold
