Question	Heat transfer is part of everyday life. Which of these examples involving heat transfer occurs mainly by conduction?	question
Answer	Hot soup warms a metal spoon handle.	answer
0	if a spoon; an object is used to stir a liquid; mixture then that spoon; that object is touching that liquid; that mixture	nongold
1	a spoon sometimes is made of metal	nongold
2	when a cooler object touches a warmer object , thermal conduction occurs	nongold
3	a spoon is a kind of object	gold
4	soup is a kind of liquid	nongold
5	a plastic spoon is made of plastic	nongold
6	soup is a kind of food	nongold
7	metal is a thermal; thermal energy conductor	gold
8	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	gold
9	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
10	a handle is a kind of object	nongold
11	a handle is a part of an object for holding that object	nongold
12	thermal conduction is when heat flows from warmer object to cooler object	nongold
13	to conduct is similar to to transfer	nongold
14	a hot; warm something is a source of heat	gold
15	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
16	water is an thermal; thermal energy conductor	nongold
17	being  on something; placed in something; placed over something means touching  that something	nongold
18	a hot substance is a source of heat	nongold
19	convert is similar to transfer	nongold
20	if one surface; one substance; one object touches something then one is exposed to that something	nongold
21	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	gold
22	if heat is conducted to an object then that object will become hot	nongold
23	thermal conduction is when materials conduct heat through those materials through collision of particles	gold
24	a handle is used for holding an object	nongold
25	conduction is a kind of process	nongold
26	friction causes the temperature of an object to increase	nongold
27	warm means medium heat energy; temperature	nongold
28	pot;pan;frying pan is made of metal for cooking	nongold
29	metal is a kind of material	gold
30	temperature is a measure of heat energy	nongold
31	heating means adding heat	nongold
32	transfer is a kind of process	nongold
33	heat means the transfer of thermal energy	nongold
34	if one is holding an object then one is touching that object	nongold
35	a kind of something is an example of that something	nongold
36	a pan;frying pan is a kind of container for cooking; food	nongold
37	a metal is usually a solid at room temperature	nongold
38	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
39	heat energy  can be used to heat up  an object	nongold
40	a thermal conductor is made of materials that conduct thermal energy	nongold
41	if a container contains something then that container touches that something	nongold
42	if an object is made of a material then that object has the properties of that material	gold
43	moisture means liquid; liquid water	nongold
44	cooking food requires adding heat energy to the food	nongold
45	a liquid is a kind of substance	nongold
46	heat means heat energy	nongold
47	warm is similar to hot	nongold
48	being in something means touching that something	nongold
49	if food is cooked then heat energy is added to that food	nongold
50	to happen means to occur	nongold
51	hot means high in heat energy; temperature	nongold
52	metal is a kind of substance	nongold
53	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
54	heat energy is synonymous with thermal energy	nongold
55	a surface is a part of a material	nongold
56	material means substance	nongold
57	a thermal insulator slows; prevents the transfer of heat	nongold
58	a container contains objects; material; substances	nongold
59	plastic is a kind of thermal insulator	nongold
60	warm means warm temperature	nongold
61	food is a kind of substance	nongold
62	a container is a kind of object	nongold
63	warmer means greater; higher in temperature; warmth	nongold
64	a tool is a kind of object	nongold
65	objects are made of materials; substances; matter	nongold
66	an insulator is a kind of material	nongold
67	tool is similar to appliance	nongold
68	if an object is held under a substance then that object is touching that substance	nongold
69	materials are made of matter	nongold
70	substances are made of matter	nongold
71	water is a kind of substance	nongold
72	transfer is a kind of change	nongold
73	if an object is hot then the surfaces of that object are hot	nongold
74	a hot plate is a source of heat	nongold
75	person is synonymous with human	nongold
76	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
77	water is a kind of liquid at room temperature	nongold
78	friction occurs when two object's surfaces move against each other	nongold
79	if something transfers something else then that something is a source of something else	nongold
80	friction converts mechanical energy into heat energy	nongold
81	a surface is a part of an object	nongold
82	an insulator is the opposite of a conductor	nongold
83	liquid is a kind of state of matter	nongold
84	wood is an thermal; thermal energy insulator	nongold
85	wood is a thermal; thermal energy insulator	nongold
86	water is a kind of object	nongold
87	a source of heat can be used to heat something	nongold
88	a source of heat can be used to heat something	nongold
89	food is a kind of object	nongold
90	absorbing energy causes objects; materials; substances to heat	nongold
91	conductivity is a property of a material; substance	gold
92	if liquid is boiling then that liquid is hot	nongold
93	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
94	a product is a kind of object	nongold
95	the heat energy in the cooler object increases in thermal conduction	nongold
96	touching something means feeling that something	nongold
97	warm; becoming warm means heat is added	nongold
98	a source of something emits; produces; generates; provides that something	nongold
99	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
