Question	Which process causes light to bend and form a rainbow?	question
Answer	refraction	answer
0	refraction is when light bends	gold
1	a rainbow is formed by refraction of light by separating light; splitting light into all different colors	nongold
2	refraction is a property of light	nongold
3	refracting sunlight; light causes sunlight; light to split into different colors	gold
4	glass; objects made of glass cause refraction of light	nongold
5	refraction is a kind of process	nongold
6	sunlight is made of all colors in the rainbow	nongold
7	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
8	water causes refraction of light	nongold
9	bending is a kind of change of shape	nongold
10	sunlight is a kind of light	gold
11	to cause the formation of means to form	nongold
12	refraction is when light passes from one medium to another medium	nongold
13	to change into means to form	nongold
14	to be made of something means to be formed of that something	nongold
15	to form means to create	nongold
16	refraction changes the length and the direction of light	nongold
17	a star is a kind of celestial object; celestial body	nongold
18	form means kind	nongold
19	light is made of photons	nongold
20	a prism refracts light	nongold
21	formation of a state of matter is a kind of process	nongold
22	refraction of light can split light into lights of different color	nongold
23	state means form	nongold
24	the rainbow is made of all different colors in visible light	gold
25	light is a kind of wave	nongold
26	to make means to form	nongold
27	objects are made of materials; substances; matter	nongold
28	forming is similar to converting	nongold
29	the ability to refract is a property of waves	nongold
30	refraction causes something to appear; to look different	nongold
31	light means light energy	nongold
32	the formation of something is a kind of process	nongold
33	a prism is used for refracting light	nongold
34	to be formed by is similar to being produced by	nongold
35	a process is a kind of event	nongold
36	forming something is a kind of change	nongold
37	a prism is a kind of tool for refracting light	nongold
38	matter; materials; substances are made of atoms; particles	nongold
39	if something is malleable , then that something can bend	nongold
40	answering questions requires information	nongold
41	breaking down is a kind of forming	nongold
42	to generate means to form	nongold
43	if something causes a process then that something is required for that process	nongold
44	attracting a stream of water can cause water to bend	nongold
45	a wave is a kind of object	nongold
46	a surface is a part of an object	nongold
47	an object is made of its parts	nongold
48	to increase is similar to to create	nongold
49	a source of something emits; produces; generates; provides that something	nongold
50	weathering is a kind of process	nongold
51	can be means able to be	nongold
52	color is a kind of physical; visual property	nongold
53	light is a kind of energy	nongold
54	light is a kind of energy	nongold
55	to add means to increase	nongold
56	affected means changed	nongold
57	sunlight and rain can cause a rainbow	nongold
58	reflection is when light is reflected from one object; one place to  another object; another place	nongold
59	diffraction is when the waves bends as they pass an edge or opening	nongold
60	emit means produce	nongold
61	to change means to cause a change	nongold
62	a process usually requires all of the stages in that process	nongold
63	high is similar to increase	nongold
64	reflection is a property of light	nongold
65	reflection is a kind of process	nongold
66	variable means able to change	nongold
67	color is a property of  an object; a material	nongold
68	refractions of light can be used to help a person see	nongold
69	a surface is a kind of object	nongold
70	to cause means to make	nongold
71	the Sun is a kind of star	nongold
72	if an object breaks off of another object then that object is formed from the same materials as that other object	nongold
73	change is a kind of process	nongold
74	to produce means to create	nongold
75	conversion is a kind of process	nongold
76	UV light is a kind of light	nongold
77	compaction is a kind of process	nongold
78	particles in objects are a kind of matter	nongold
79	water is a kind of matter	nongold
80	a motion is a kind of event; action	nongold
81	motion is when moves an object; something to a direction	nongold
82	the sun is a source of light; light energy called sunlight	nongold
83	phase means state	nongold
84	creating is similar to causing	nongold
85	form is similar to body	nongold
86	a tree is a kind of matter	nongold
87	bright means bright; light in color	nongold
88	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
89	metamorphosis is a kind of process	nongold
90	to convert means to change	nongold
91	gas is a kind of state of matter	nongold
92	to split means to break down	nongold
93	to illuminate means to light up	nongold
94	a part of a process means a stage in a process	nongold
95	to create means to make	nongold
96	a circle is a kind of shape	nongold
97	a living thing is a kind of object	nongold
98	a particle is a kind of object	nongold
99	to transform means to convert	nongold
