Question	Scientists use the term "light year" to describe	question
Answer	the distance light travels in one year.	answer
0	light year is a measure of the distance light travels in one year	gold
1	a light-year is used for describing long distances	nongold
2	years are a kind of unit for measuring time	nongold
3	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
4	a scientist is a kind of human	nongold
5	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
6	astronomy is the study of celestial (objects, bodies)	nongold
7	sunlight is a kind of light	nongold
8	a planet's distance from the star causes the length of a planetary year	nongold
9	to a human a time period of 1000 years or more years is considered very long	nongold
10	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
11	astronomy is a kind of branch of science	nongold
12	a star is a kind of celestial object; celestial body	nongold
13	the Sun is a kind of star	nongold
14	annual means once per year	nongold
15	a moon is a kind of celestial object; body	nongold
16	stars are located light years apart from each other	nongold
17	meters;centimeters;kilometers are used to describe distance; describe length	nongold
18	measuring is used for describing an object	nongold
19	furthest; farthest means greatest; most; highest in distance	nongold
20	astronomical unit is a measure of distance between Earth and the Sun	nongold
21	length of time means period of time	nongold
22	as the distance of a planet from the star  it orbits increases , the length of a planetary year on that planet will increase	nongold
23	1 year is equal to 365 days	nongold
24	yearly means every year	nongold
25	a planet is a kind of celestial object; body	nongold
26	Earth is a kind of planet	nongold
27	light is a kind of wave	nongold
28	a planet completes one orbit around its star over a period of one planetary year	nongold
29	visible light is a kind of  light	nongold
30	a human is a kind of animal	nongold
31	a source of something emits; produces; generates; provides that something	nongold
32	scientists make observations	nongold
33	astronomical body means celestial body	nongold
34	the day time is part of one day	nongold
35	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
36	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
37	days are a kind of unit for measuring time	nongold
38	an event is a kind of action	nongold
39	a physicist is a kind of scientist	nongold
40	distant means great in distance	nongold
41	a meter is a kind of unit for measuring distance; measuring length	nongold
42	the sun is a source of light; light energy called sunlight	nongold
43	an animal is a kind of living thing	nongold
44	the properties of something are used for describing that something	nongold
45	a star is a source of light; light energy through nuclear reactions	nongold
46	a vehicle is used for travel	nongold
47	period is similar to amount of time	nongold
48	can be means able to be	nongold
49	long means great in length	nongold
50	moving is similar to travelling	nongold
51	the sun is a kind of yellow dwarf	nongold
52	months are a kind of unit for measuring time	nongold
53	a white dwarf is a kind of star	nongold
54	researcher is a kind of scientist	nongold
55	a hypothesis is a kind of scientific term	nongold
56	decades are a kind of unit for measuring time	nongold
57	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
58	a measure of time is a length of time	nongold
59	events occur at a specific place; at a specific time; with a specific frequency	nongold
60	a theory is a kind of scientific term	nongold
61	hypothesis means scientific guess about the cause and effect of an event	nongold
62	a vehicle is a kind of object	nongold
63	a motion is a kind of event; action	nongold
64	to pass means to travel	nongold
65	a galaxy is made of stars	nongold
66	affected means changed	nongold
67	light is a kind of electromagnetic radiation	nongold
68	a Periodic Table is a kind of scientific  model	nongold
69	a process is a kind of event	nongold
70	the Earth revolves around the sun	nongold
71	a living thing is a kind of object	nongold
72	Neptune has the longest solar year; planetary year in the solar system	nongold
73	answering questions requires information	nongold
74	far means great in distance	nongold
75	the location of an object can be used to describe that object	nongold
76	light is made of photons	nongold
77	the night time is part of one day	nongold
78	length is a measure of distance from one end of an object to the other end of that object	nongold
79	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
80	a law is a kind of scientific term	nongold
81	a galaxy is a kind of very large system of stars	nongold
82	a galaxy is a kind of celestial body; celestial object	nongold
83	distance moved; distance travelled is a measure of how far an object moves	nongold
84	sunlight means solar energy	nongold
85	light means light energy	nongold
86	the moon orbiting the Earth occurs approximately 13 times per year	nongold
87	1 year is equal to 12 months	nongold
88	cycles of day and night occur once per day	nongold
89	a landform is a kind of object	nongold
90	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
91	UV light is a kind of light	nongold
92	a scientific inference is a kind of explanation based on facts that is not a direct observation	nongold
93	all the time means at day and at night	nongold
94	scientific discoveries sometimes require specific technologies	nongold
95	a cycle happens; occurs repeatedly	nongold
96	a galaxy is a kind of celestial body	nongold
97	how long something takes is a kind of measurement of time	nongold
98	a unit for measuring time is a kind of time interval	nongold
99	travel means to move	nongold
