Question	Which object best reflects light?	question
Answer	white floor	answer
0	if an object is white then that object reflects all visible light	nongold
1	white is a kind of color	nongold
2	a white object reflects all visible light	gold
3	reflection is when light is reflected from one object; one place to  another object; another place	nongold
4	color is a kind of physical; visual property	nongold
5	color is a property of  an object; a material	nongold
6	if an object reflects a light of a certain color then the object appears to be that color	nongold
7	best means most positive	nongold
8	the floor is a kind of object	gold
9	to bounce back means to reflect	nongold
10	reflecting light; sound is the opposite of absorbing light; sound	nongold
11	reflection is a property of light	nongold
12	white light is made of all colors of visible light combined	nongold
13	the floor is at the bottom of a room	nongold
14	shiny things; objects reflect light	nongold
15	to reflect light means to scatter light	nongold
16	reflection is when particles bounce off a surface	nongold
17	a surface is a part of an object	nongold
18	if an object is black then that object absorbs all visible light; heat	nongold
19	sunlight is a kind of light	nongold
20	a room is a kind of object	nongold
21	light reflecting off of an object causes that object to be visible to the observer	nongold
22	a surface is a kind of object	nongold
23	room contains walls	nongold
24	ground means floor	nongold
25	a wall is a kind of surface	nongold
26	a wall is a kind of object	nongold
27	a human is a kind of animal	nongold
28	if an object is blue then that object reflects only blue light	nongold
29	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
30	a living thing is a kind of object	nongold
31	the color of an environment means the color of the things that environment contains	nongold
32	if an object reflects more light then that object is more easily seen	nongold
33	coloration means a thing's color	nongold
34	appearance is a property of objects; materials	nongold
35	a blue object reflects only blue light	nongold
36	better means good	nongold
37	an animal is a kind of living thing	nongold
38	as lightness in color of an object increases , the ability of that object to reflect light will increase	nongold
39	reflection is a kind of process	nongold
40	a covering is a kind of object	nongold
41	if something is in a dark place , then that something will not reflect enough light to be seen	nongold
42	objects are made of materials; substances; matter	nongold
43	coloration means a pattern of colors	nongold
44	a reflector is used to reflect light especially on vehicles	nongold
45	good means positive	nongold
46	a surface is a part of a material	nongold
47	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
48	visible light is a kind of  light	nongold
49	the ability to reflect off of a surface is a kind of characteristic	nongold
50	image means visual depiction of an object	nongold
51	green is a kind of color	nongold
52	if an object reflects light toward the eye then that object can be seen	nongold
53	carpet has a rough surface	nongold
54	person is synonymous with human	nongold
55	when light hits a reflective object , that light bounces off that object	nongold
56	dark is the opposite of light	nongold
57	an part of an object is smaller than the entire object	nongold
58	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
59	light is a kind of wave	nongold
60	color is an intensive property	nongold
61	the color of an object can be discovered by looking at that object	nongold
62	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
63	a source of something emits; produces; generates; provides that something	nongold
64	if something is outside during the day , then that something will reflect enough light to be seen	nongold
65	to be good for means to have a positive impact on	nongold
66	texture means how an object feels	nongold
67	when object is in direct light then that object is not shaded	nongold
68	white objects absorbs the least sunlight	nongold
69	bright means bright; light in color	nongold
70	dark means dark in color	nongold
71	a white tile can be used as a streak plate	nongold
72	a person is a kind of animal	nongold
73	feature is synonymous with characteristic	nongold
74	the ability to reflect is a property of sound wave	nongold
75	to look like means to have the visual properties of	nongold
76	a mirror reflects light	nongold
77	affected means changed	nongold
78	dark means a low amount of light	nongold
79	an animal is a kind of organism	nongold
80	UV light is a kind of light	nongold
81	a property of something is a feature of that something	nongold
82	painting an object a color causes that object to be that color	nongold
83	smooth is a kind of texture	nongold
84	darker objects absorb more light than light colored objects	nongold
85	a panel is a kind of object	nongold
86	to lower means to decrease	nongold
87	if something exists on a surface then that surface contains that something	nongold
88	if someone walks on a surface then that someone touches that surface	nongold
89	if an object is in the light then that object is blocking the light	nongold
90	appearance  is a kind of physical property	nongold
91	if an object is translucent , then some light will scatter	nongold
92	an environment means an area	nongold
93	feeling is when an living thing senses through touch	nongold
94	if the surface of an object contains something then that object is covered with that something	nongold
95	objects in an environment are a part of that environment	nongold
96	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
97	eyes can sense;detect light energy for seeing	nongold
98	a table is a kind of furniture	nongold
99	brightness means amount of light	nongold
