Question	A student plants rosebushes in her front yard. The student is frequently seen pulling weeds from the base of the rosebushes. What is the most likely reason that the weeds are pulled?	question
Answer	Weeds use nutrients the roses need to grow.	answer
0	a plant; living thing requires nutrients to grow	gold
1	weeds use up nutrients	gold
2	requiring something means needing that something	nongold
3	a rose is a kind of flower	gold
4	to be used for something means to be required by that something	nongold
5	requiring is similar to needing help	nongold
6	a plant requires photosynthesis to grow; survive	nongold
7	a plant requires soil for survival; to grow	nongold
8	to depend on; to rely on; to need means to require	gold
9	weed is a kind of plant	gold
10	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
11	if a weed is pulled then that weed is destroyed	gold
12	soil contains nutrients for plants	nongold
13	what something needs is a property of that something	nongold
14	a  plant requires sunlight to  grow	nongold
15	if something causes a process then that something is required for that process	nongold
16	a student is a kind of human	nongold
17	nutrients are a kind of resource	gold
18	a cause of something is a reason for that something	nongold
19	if a living thing requires something then that something has a positive impact on that living thing	nongold
20	if something is required for a process then that something positively impacts that process	nongold
21	an animal requires nutrients to grow and heal	nongold
22	green plants are a kind of producer	nongold
23	an animal; living thing requires nutrients for survival	nongold
24	roots are a vehicle for absorbing water and nutrients from soil into the plant	nongold
25	vegetation means plants	nongold
26	grass is a kind of green plant	nongold
27	a flower is a kind of plant	nongold
28	pulling is a kind of motion	nongold
29	roots are a part of a plant; tree	nongold
30	growing is a kind of process	nongold
31	a food contains nutrients for living things	nongold
32	nutrients are a kind of matter	nongold
33	a plant is a kind of living thing	gold
34	to be required means to be necessary	nongold
35	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
36	if something requires something else then that something requires a source of that something else	nongold
37	a shrub is a kind of plant	nongold
38	planting crops requires growing crops	nongold
39	the function of something is what that something  is used to do	nongold
40	planting crops is synonymous with growing crops	nongold
41	a tree requires sunlight to grow	nongold
42	if something is a raw material in a process then that something is required for that process	nongold
43	plants are a part of the environment	nongold
44	a plant is a kind of organism	nongold
45	if some nutrients are in the soil then those nutrients are in the food chain	nongold
46	soil is a renewable resource for growing plants	nongold
47	helping something has a  positive impact on that something	nongold
48	a nutrient is a kind of object	nongold
49	a source of something emits; produces; generates; provides that something	nongold
50	a stem is often a part of plant	nongold
51	nutrients are a kind of substance	nongold
52	roots anchor plants into the soil	nongold
53	a  plant requires sunlight for photosynthesis	nongold
54	a leaf is a part of a  green plant	nongold
55	an organism requires energy for growth; repair	nongold
56	if a plant is planted; growing somewhere then that plant is located there	nongold
57	a plant requires water to grow	nongold
58	if something is required then that something must be provided	nongold
59	a human is a kind of animal	nongold
60	to provide something means to be the source of that something	nongold
61	growth is a kind of process	nongold
62	nutrients are a kind of material	nongold
63	a flower is a part of a plant for attracting pollinators; producing seeds	gold
64	a wildflower is a kind of flower	nongold
65	In the food chain process a  green plant has the role of  producer	nongold
66	nutrients are a source of energy for living things	nongold
67	harming something has a  negative impact on; effect on that something	nongold
68	a process usually requires all of the stages in that process	nongold
69	decomposition increases the  amount of nutrients; nitrogen in the soil	nongold
70	a vegetable is a kind of plant	nongold
71	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
72	an animal requires enough nutrients to maintain good health; survive	nongold
73	best means most positive	nongold
74	nitrogen is a kind of nutrient for plant growth	nongold
75	a process is a kind of event	nongold
76	if something gains something from something else then that something else is a source of that something	nongold
77	plants are a kind of resource	nongold
78	a vine is a kind of stem	nongold
79	a plants; living things require water for survival; to grow	nongold
80	a flower is a kind of object	nongold
81	if an event is required for a process then that event must occur before that process can occur	nongold
82	negative impact is the opposite of positive impact	nongold
83	plants are a source of fibers	nongold
84	trees are a kind of natural resource	nongold
85	planting is a kind of human action	nongold
86	where something  comes from is a source of that something	nongold
87	good means positive	nongold
88	needing something means depending on that something	nongold
89	requiring too much of a resource has a negative impact on the availiability of that resource	nongold
90	if something transfers something else then that something is a source of something else	nongold
91	a vine is a kind of plant	nongold
92	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
93	people can plant trees	nongold
94	dead organisms are the source of nutrients for decomposers	nongold
95	an animal needs to eat food for nutrients	nongold
96	a flower is a source of nectar	nongold
97	renewing soil increases nutrients in the soil	nongold
98	crops; farming cause nutrients in the soil to decrease	nongold
99	a plant is a member of a plant species	nongold
