Question	The best example of heat transfer by convection is when	question
Answer	heat rises in a chimney.	answer
0	convection is when the heated part of gas rises	gold
1	An example of heat transfer by convection is  heat rises in a chimney	gold
2	convection is when a liquid is heated by hotter material rising to the top of the liquid	nongold
3	convection is a kind of process	nongold
4	temperature  rise means temperature increase	nongold
5	convert is similar to transfer	nongold
6	heating means adding heat	nongold
7	heat means the transfer of thermal energy	nongold
8	if gas is heated then that gas will expand; rise	nongold
9	transfer is a kind of process	nongold
10	temperature is a measure of heat energy	nongold
11	transfer is a kind of change	nongold
12	rising means height; altitude increases	nongold
13	if something transfers something else then that something is a source of something else	nongold
14	heat means heat energy	nongold
15	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
16	transferring is moving from one place to another place	nongold
17	a kind of something is an example of that something	nongold
18	to flow is similar to to transfer	nongold
19	transferring is similar to adding	nongold
20	to add means to increase	nongold
21	steam is a kind of gas	nongold
22	to conduct is similar to to transfer	nongold
23	a source of something emits; produces; generates; provides that something	nongold
24	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
25	heat energy is synonymous with thermal energy	nongold
26	a burner is a part of a  stove	nongold
27	an increase is a kind of change	nongold
28	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
29	convection causes uneven heating	nongold
30	fire transfers heat through waves	nongold
31	rising means elevation	nongold
32	heat means temperature increases	nongold
33	a source of heat can be used to heat something	nongold
34	a source of heat can be used to heat something	nongold
35	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
36	a stove generates heat for cooking usually	nongold
37	hot means high in heat energy; temperature	nongold
38	steam; water vapor is a kind of water phase	nongold
39	rising is a kind of motion	nongold
40	convection in the mantle transfers heat  from deep in the interior of Earth to the crust	nongold
41	transferring is similar to giving	nongold
42	to transfer means to bring; to get something to	nongold
43	a burner is a kind of object; surface	nongold
44	high is similar to increase	nongold
45	adding heat means increasing temperature	nongold
46	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
47	a stove is used for cooking by generating heat	nongold
48	variable means able to change	nongold
49	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
50	temperature drop means temperature decrease	nongold
51	thermal conduction is when heat flows from warmer object to cooler object	nongold
52	steam;water vapor is a kind of water above 100 degrees celsius	nongold
53	if something hot is exposed to the air , then the heat will transfer to the air	nongold
54	if heat is transferred to the air , then the temperature of the air will increase	nongold
55	water is a kind of liquid at room temperature	nongold
56	an increase is the opposite of a decrease	nongold
57	a hot; warm something is a source of heat	nongold
58	to give off means to be the source of	nongold
59	to reduce means to decrease	nongold
60	affected means changed	nongold
61	increase means more	nongold
62	a stove is a kind of machine	nongold
63	if something is places over a heat source then that something is exposed to that heat source	nongold
64	emit means produce	nongold
65	rising means moving upward	nongold
66	evaporating is a kind of phase change	nongold
67	steam is hot in temperature	nongold
68	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
69	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
70	a decrease is a kind of change	nongold
71	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
72	a change is a kind of event	nongold
73	a source of something increases the amount of that something	nongold
74	increasing heat causes thermal expansion	nongold
75	to lower means to decrease	nongold
76	to change means to cause a change	nongold
77	water is an thermal; thermal energy conductor	nongold
78	gas is a kind of material	nongold
79	answering questions requires information	nongold
80	heat energy  can be used to heat up  an object	nongold
81	an oven is a source of heat	nongold
82	an object; material; substance comes from that object or material's source	nongold
83	warm means medium heat energy; temperature	nongold
84	when a cooler object touches a warmer object , thermal conduction occurs	nongold
85	to transfer is similar to transport	nongold
86	heating elements are usually a part of an oven	nongold
87	low is similar to decrease	nongold
88	to send means to transfer	nongold
89	if something releases something else then that something is the source of that something else	nongold
90	condensing is a kind of  phase change	nongold
91	to emit means to release	nongold
92	a process is a kind of event	nongold
93	to convert means to change	nongold
94	combustion is a kind of chemical change	nongold
95	phase means state	nongold
96	natural gas is used for generating heat by burning in a furnace; in a stove	nongold
97	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
98	something that happens is a kind of event	nongold
99	a container contains objects; material; substances	nongold
