Question	Which of the following causes a chemical change?	question
Answer	lemon juice added to milk	answer
0	lemon juice is a kind of substance	nongold
1	chemical reactions cause chemical change	nongold
2	milk is a kind of liquid at room temperature	nongold
3	acid can cause chemical change	gold
4	lemon juice is a kind of acid	gold
5	lemon juice is a kind of acid	nongold
6	juice is a kind of liquid	nongold
7	to change means to cause a change	nongold
8	chemicals means substances	nongold
9	adding something is a kind of change	nongold
10	a lemon is a kind of fruit	nongold
11	milk is a kind of food	nongold
12	milk is a kind of food	nongold
13	fruit juice is a kind of  drink	nongold
14	fruit juice is usually high in sugar	nongold
15	sugar is a kind of pure substance	nongold
16	lemonade is made of water, lemon juice, and sugar	nongold
17	a liquid is a kind of substance	nongold
18	a beverage is a kind of liquid	nongold
19	chemical change is the opposite of physical change	nongold
20	substances have chemical properties	nongold
21	combining; mixing two substances chemically causes chemical reactions	nongold
22	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
23	water is a kind of liquid at room temperature	nongold
24	to be a source of something means to cause that something	nongold
25	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
26	humans drink beverages	nongold
27	ethanol is a kind of substance	nongold
28	adding heat to an object sometimes causes chemical reactions	nongold
29	chemical reactions cause new substances; different substances to form	nongold
30	fruit drink is a kind of beverage	nongold
31	chemical change is a kind of chemical reaction	nongold
32	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
33	a beverage is a kind of food	nongold
34	dairy is a kind of food	nongold
35	sweet is a kind of flavor	nongold
36	sugar dissolves in water when they are combined	nongold
37	sugar is a kind of solid	nongold
38	to add means to increase	nongold
39	alcohol is a kind of liquid	nongold
40	water is a kind of substance	nongold
41	to convert means to change	nongold
42	affected means changed	nongold
43	soda water is a kind of carbonated beverage	nongold
44	juice is a kind of matter	nongold
45	soda is a kind of carbonated beverage	nongold
46	most chemical reactions release or absorb heat energy	nongold
47	if an object undergoes chemical change then that object will have new chemical properties	nongold
48	food is a kind of substance	nongold
49	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
50	if a substance is mixed with another substance then those substances will undergo physical change	nongold
51	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
52	all elements are a kind of pure substance	nongold
53	sugar is a kind of food	nongold
54	if the component of something changed , then the whole thing will change	nongold
55	an increase is a kind of change	nongold
56	to cause means to have an effect	nongold
57	action can cause change	nongold
58	if something is dissolved , then that something is the solute	nongold
59	heating means adding heat	nongold
60	An example of a chemical change is acid breaking down substances	nongold
61	if the color of a substance changes then a chemical change may have occurred	nongold
62	a  chemical property is a kind of  property	nongold
63	if something undergoes physical change then the chemical properties of that something will remain unchanged	nongold
64	a source of something emits; produces; generates; provides that something	nongold
65	moisture means liquid; liquid water	nongold
66	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
67	a change is a kind of event	nongold
68	temperature is a measure of heat energy	nongold
69	a carbonated beverage contains dissolved carbon dioxide	nongold
70	to change means to have an effect	nongold
71	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
72	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
73	an object; material; substance comes from that object or material's source	nongold
74	causing is a kind of affecting	nongold
75	a phase change is a kind of physical change	nongold
76	butter is a kind of substance	nongold
77	causing means influencing	nongold
78	a decrease is a kind of change	nongold
79	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
80	chemical reaction means chemical bonds change	nongold
81	a component means a part of	nongold
82	to give off means to be the source of	nongold
83	sugary means high in sugar	nongold
84	material means substance	nongold
85	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
86	variable means able to change	nongold
87	if heat is added to a substance then that substance absorbs that heat	nongold
88	transferring is similar to adding	nongold
89	heat means heat energy	nongold
90	sugar is made of carbon, hydrogen, oxygen	nongold
91	objects are made of materials; substances; matter	nongold
92	In the solution sugar water , the solute is sugar	nongold
93	change is a kind of impact	nongold
94	made up of means contains; made of	nongold
95	liquid is a kind of state of matter	nongold
96	to modify means to change	nongold
97	if something is made of something; a material then that something contains that something; that material	nongold
98	substances are made of elements	nongold
99	a lemon has strong odor	nongold
