Question	A gas is heated and its temperature increases. What happens to the gas molecules?	question
Answer	They move faster.	answer
0	as the temperature of a substance; of an object decreases , the molecules in that substance will move slower; closer	nongold
1	faster means an increase; higher in speed	nongold
2	heat means temperature increases	gold
3	as the temperature of a substance increases , the molecules in that substance will move faster; farther apart	gold
4	temperature is a measure of heat energy	nongold
5	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
6	as temperature increases , the speed of molecules will increase	nongold
7	faster means increased rate	nongold
8	heat means heat energy	nongold
9	a molecule is a kind of particle	nongold
10	matter; materials; substances are made of atoms; particles	nongold
11	heating means adding heat	nongold
12	adding heat means increasing temperature	nongold
13	fastest means greatest in  speed	nongold
14	fast means quickly	nongold
15	motion; movement means moving; to move	nongold
16	gas is a kind of substance	gold
17	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
18	as the temperature of a liquid increases , that liquid will evaporate quicker	nongold
19	substances are made of molecules	nongold
20	a pure substance is made of only one kind of atom; molecule	nongold
21	as the kinetic energy of a molecule increases , the temperature will increase	nongold
22	cooling means temperature decreases	nongold
23	to add means to increase	nongold
24	warm up means increase temperature	nongold
25	to slow; to slow down decreases speed	nongold
26	atoms are made of particles	nongold
27	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
28	temperature is a measure of kinetic energy of molecules	nongold
29	a molecule is a kind of object	nongold
30	fast is the opposite of slow	nongold
31	high speed means fast	nongold
32	gas is a kind of object	nongold
33	temperature  rise means temperature increase	nongold
34	particles in a liquid are slower than particles in a gas	nongold
35	a molecule is made of atoms chemically combined; bonded	nongold
36	matter is made of molecules	nongold
37	heating is the opposite of cooling	nongold
38	an increase is the opposite of a decrease	nongold
39	as the heat of matter increases , the  average molecular speed in that matter increases	nongold
40	speed is a measure of how fast an object is moving	nongold
41	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
42	an increase is a kind of change	nongold
43	increase means more	nongold
44	boiling is a kind of phase change	nongold
45	a liquid is a kind of substance	nongold
46	gas is a kind of state of matter	nongold
47	high is similar to increase	nongold
48	boiling is when liquids are heated above their boiling point	nongold
49	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
50	particles in objects are a kind of matter	nongold
51	speed is a property of an object and includes values of slow; fast	nongold
52	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
53	particles in a solid are slower than particles in a liquid	nongold
54	particles in a liquid are close to each other	nongold
55	a source of something increases the amount of that something	nongold
56	as the kinetic energy of particles increases , the particles will move faster	nongold
57	when gas compresses , the temperature of the gas increases	nongold
58	liquid is a kind of state of matter	nongold
59	heat means the transfer of thermal energy	nongold
60	to reduce means to decrease	nongold
61	substances are made of matter	nongold
62	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
63	atoms in a gas move independently of one another	nongold
64	a decrease is a kind of change	nongold
65	objects are made of materials; substances; matter	nongold
66	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
67	molecules in a solid vibrates within a fixed place	nongold
68	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
69	warm; becoming warm means heat is added	nongold
70	a hot substance is a source of heat	nongold
71	if an object accelerates then that object will go faster	nongold
72	if heat is added to a substance then that substance absorbs that heat	nongold
73	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
74	to lower means to decrease	nongold
75	if something emits something else then that something increases the amount of that something else	nongold
76	boiling point is the highest temperature a liquid can reach	nongold
77	water is an thermal; thermal energy conductor	nongold
78	as an object moves faster , the kinetic energy of that object will increase	nongold
79	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
80	warm means medium heat energy; temperature	nongold
81	variable means able to change	nongold
82	a solid is a kind of substance	nongold
83	a source of something emits; produces; generates; provides that something	nongold
84	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
85	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
86	a molecule is the smallest particle; unit that has the properties of a compound	nongold
87	affected means changed	nongold
88	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
89	state of matter at room temperature is a kind of physical property	nongold
90	hot means high in heat energy; temperature	nongold
91	a particle is a kind of object	nongold
92	atoms in a gas collide frequently	nongold
93	movement is a kind of change	nongold
94	an atom is a kind of object	nongold
95	when a cooler object touches a warmer object , thermal conduction occurs	nongold
96	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
97	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
98	warmer means greater; higher in temperature; warmth	nongold
99	can be means able to be	nongold
