Question	Gaseous sulfur dioxide is a compound that combines with water in the atmosphere to form acid rain. What is the primary source of sulfur dioxide?	question
Answer	combustion of fossil fuels	answer
0	sulfur dioxide is formed by the combustion of fossil fuels	gold
1	gases from burning coal and oil dissolving in water in the atmosphere causes acid rain	nongold
2	a compound is made of two or more elements that have been chemically combined	nongold
3	gaseous means of gas	nongold
4	water is a kind of compound	nongold
5	the emission of sulfur dioxide causes acid rain	gold
6	the atmosphere contains gases; liquids; solids	nongold
7	carbon dioxide is a kind of gas	nongold
8	compound is a kind of chemical	nongold
9	a chemical compound is a kind of compound	nongold
10	combustion is a kind of chemical change	nongold
11	fossil fuels release carbon dioxide into the atmosphere	nongold
12	a compound can be chemically separated into the elements that it is made of	nongold
13	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
14	combining; mixing two substances chemically causes chemical reactions	nongold
15	a source of something emits; produces; generates; provides that something	nongold
16	sulfur is a kind of element	nongold
17	combustion means fire converts chemical energy into light energy and heat energy	nongold
18	atmosphere means  air	nongold
19	acid rain is acidic	nongold
20	water contains dissolved oxygen	nongold
21	form means kind	nongold
22	air is a kind of gas	nongold
23	oxygen is a kind of gas at room temperature	nongold
24	liquid; solid means nongaseous	nongold
25	a  gas is a kind of  element	nongold
26	a compound is a kind of substance	nongold
27	to add means to combine	nongold
28	water is made of hydrogen and oxygen	nongold
29	oil is a kind of fossil fuel	nongold
30	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
31	water is a kind of liquid at room temperature	nongold
32	where something  comes from is a source of that something	nongold
33	nitrogen is a kind of gas	nongold
34	vapor is synonymous with gas	nongold
35	acid can cause chemical change	nongold
36	fossil fuel contains chemical energy	nongold
37	to be formed by is similar to being produced by	nongold
38	petroleum is a kind of fossil fuel	nongold
39	products are formed; are produced; are created	nongold
40	rain is a kind of water	nongold
41	hydrogen is a kind of gas at room temperature	nongold
42	if something releases something else then that something is the source of that something else	nongold
43	fossil fuels are a nonrenewable resource	nongold
44	forming is similar to converting	nongold
45	fossil fuels burning causes pollution	nongold
46	a carbohydrate is a kind of compound	nongold
47	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
48	to be made of something means to be formed of that something	nongold
49	to change into means to form	nongold
50	to exhale means to release	nongold
51	if something transfers something else then that something is a source of something else	nongold
52	chemical reactions cause new substances; different substances to form	nongold
53	methane is a kind of compound	nongold
54	atmospheric means of the atmosphere	nongold
55	a compound is a kind of material	nongold
56	chemical reactions can cause gas to be released into the atmosphere	nongold
57	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
58	to combust means to catch fire	nongold
59	rain is a source of water	nongold
60	gas is a kind of substance	nongold
61	to make means to form	nongold
62	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
63	acidic rainwater contains acid	nongold
64	to give off means to be the source of	nongold
65	carbon is a kind of element	nongold
66	water is a kind of substance	nongold
67	heat means heat energy	nongold
68	burning fossil fuels increases the carbon in the atmosphere	nongold
69	forming something is a kind of change	nongold
70	oxygen gas is made of only  oxygen element	nongold
71	if something comes from something else then that something else is a source of that something	nongold
72	to fuse means to combine	nongold
73	An example of a chemical property is the elements a compound is made of	nongold
74	a source of something supplies that something	nongold
75	the Earth's atmosphere is made of 78 percent nitrogen by mass	nongold
76	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
77	to form means to create	nongold
78	state means form	nongold
79	if something requires something else then that something requires a source of that something else	nongold
80	oxygen  is a kind of element	nongold
81	hydrogen is a kind of element	nongold
82	an acid is acidic	nongold
83	plus means to combine	nongold
84	carbon dioxide can be found in the air	nongold
85	to provide something means to be the source of that something	nongold
86	substances are made of elements	nongold
87	to add means to increase	nongold
88	to be used for something means to be required by that something	nongold
89	propane;C_{3}H_{8} is a kind of gas at room temperature	nongold
90	a volatile substance gives off gas	nongold
91	hydrochloric acid is a kind of acid	nongold
92	chemical reactions cause chemical change	nongold
93	a fossil fuel is a kind of natural resource	nongold
94	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
95	if something is made of something else , then that something else will be the component of that something	nongold
96	water is a kind of matter	nongold
97	to convert means to change	nongold
98	air is a kind of matter	nongold
99	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
