Question	Light rays are focused by the lens of a camera through the process of	question
Answer	refraction.	answer
0	light rays means light	gold
1	refraction is a kind of process	gold
2	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
3	refraction is when light passes from one medium to another medium	nongold
4	refraction is a property of light	nongold
5	glass; objects made of glass cause refraction of light	nongold
6	refraction causes something to appear; to look different	nongold
7	refraction is when light bends	nongold
8	refraction changes the length and the direction of light	nongold
9	lenses are a kind of object	nongold
10	a convex lens causes light to refract and concentrate to magnify distant objects	gold
11	optical tools are used for observing materials up close; in greater detail	nongold
12	light rays can have a negative impact on the eyes	nongold
13	a magnifying glass is a kind of tool for observing small things	nongold
14	sunlight is a kind of light	nongold
15	light is a kind of wave	nongold
16	reflection is when light is reflected from one object; one place to  another object; another place	nongold
17	water causes refraction of light	nongold
18	rays of the sun means sunlight	nongold
19	refraction of light can split light into lights of different color	nongold
20	to focus means to concentrate	gold
21	visible light is a kind of  light	nongold
22	reflection is a kind of process	nongold
23	a lens is a part of a telescope	nongold
24	refractions of light can be used to help a person see	nongold
25	a camera is a kind of tool for recording images	nongold
26	magnifying glass is used to see  small things by making objects appear bigger	nongold
27	to reflect light means to scatter light	nongold
28	a hand lens; a magnifying lens is synonymous with a magnifying glass	nongold
29	can be means able to be	nongold
30	a camera is used for recording images	nongold
31	refracting sunlight; light causes sunlight; light to split into different colors	nongold
32	the ability to refract is a property of waves	nongold
33	light means light energy	nongold
34	causing means influencing	nongold
35	if an object reflects light toward the eye then that object can be seen	nongold
36	light is a kind of electromagnetic radiation	nongold
37	viewing means observing light	nongold
38	answering questions requires information	nongold
39	the function of something is what that something  is used to do	nongold
40	an eyeglass lens is a kind of object	nongold
41	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
42	light comes to the focal point after passing the convex lens	nongold
43	an x ray is a kind of electromagnetic energy	nongold
44	a process is a kind of event	nongold
45	producing is a kind of process	nongold
46	form means kind	nongold
47	reflection is a property of light	nongold
48	process is similar to method	nongold
49	intense means high in intensity	nongold
50	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
51	a tool is a kind of object	nongold
52	emit means produce	nongold
53	eyes are used for seeing by animals by sensing light	nongold
54	objects are made of materials; substances; matter	nongold
55	a process usually requires all of the stages in that process	nongold
56	a laser is used for producing light	nongold
57	image means visual depiction of an object	nongold
58	variable means able to change	nongold
59	converting is similar to producing	nongold
60	radiation is a kind of process	nongold
61	a laser is a kind of device for producing light	nongold
62	if something causes a process then that something is required for that process	nongold
63	UV light is a kind of light	nongold
64	the refraction of seismic wave can be  used to interpret  the interior of structure of earth	nongold
65	observable means visible	nongold
66	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
67	reflecting light; sound is the opposite of absorbing light; sound	nongold
68	a rainbow is formed by refraction of light by separating light; splitting light into all different colors	nongold
69	to convert means to change	nongold
70	a type is synonymous with a kind	nongold
71	a device is a kind of object	nongold
72	a part of a process means a stage in a process	nongold
73	a source of something emits; produces; generates; provides that something	nongold
74	to be formed by is similar to being produced by	nongold
75	intense means extreme	nongold
76	change is a kind of process	nongold
77	to happen means to occur	nongold
78	eyes are a part of a human for seeing	nongold
79	light is made of photons	nongold
80	to add means to increase	nongold
81	an optical telescope requires visible light for human to use	nongold
82	wavelength is a property of wave	nongold
83	to be formed by is to be the result of	nongold
84	an part of an object is smaller than the entire object	nongold
85	affected means changed	nongold
86	lenses are a part of eyeglasses	nongold
87	a surface is a part of an object	nongold
88	an eyeglass lens is often made of glass	nongold
89	to disperse means to separate	nongold
90	to bounce back means to reflect	nongold
91	a convex lens is used in camera	gold
92	frequency is a property of a wave; a particel of light; an event	nongold
93	to emit means to release	nongold
94	instrument means device	nongold
95	composed of means made of	nongold
96	a telescope is used for observing stars;planets;moons;distant objects; the sky; celestial objects by astronomers	nongold
97	a prism is a kind of tool for refracting light	nongold
98	to produce means to provide	nongold
99	visible means able to be seen	nongold
