Question	Intense heat and pressure in Earth's crust can change sandstone into quartzite. During this metamorphosis, many properties of these rocks change. Which property of these rocks will most likely remain the same?	question
Answer	mass	answer
0	a quartzite is a kind of metamorphic rock	gold
1	as the class of a rock changes ,  the mass of the rock will stay the same	gold
2	to remain means to stay the same	gold
3	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	gold
4	sandstone is a kind of sedimentary rock	gold
5	extreme heat and pressure change; metamorphose rock into metamorphic rock	gold
6	stay the same means not changing	nongold
7	as the heat  of an object increases , the mass of the object will stay the same	nongold
8	extreme heat and pressure is present in Earth's crust	gold
9	intense means extreme	gold
10	as the force  of gravity changes , the mass of the object will stay the same	nongold
11	as the pressure on an object increases , the mass of the object will stay the same	nongold
12	mass is a kind of physical property	nongold
13	mass is a property of objects; matter	gold
14	as the shape of an object changes , the mass of that object will stay the same	nongold
15	if something has no impact on something else then that something else stays the same	nongold
16	quartz is a kind of mineral	nongold
17	granite is a kind of igneous rock	nongold
18	as state of matter changes , mass will not change	nongold
19	to retain means to remain	nongold
20	mass; weight are the same on Earth	nongold
21	sometimes rocks are formed by quartz; feldspar mixed together	nongold
22	different materials usually have different properties	nongold
23	granite is a kind of nonmetal	nongold
24	metamorphosed rock is a kind of rock	nongold
25	to remain means to not change	nongold
26	as a substance dissolves in water , the mass of the substance will stay the same	nongold
27	same means identical; equal in value; amount; number; quantity	nongold
28	if something changes , then that something is not the same	nongold
29	metamorphosis means complete metamorphosis	nongold
30	mass; weight is a property of matter; objects; materials	nongold
31	phase changes do not change mass	nongold
32	to change means to become different	nongold
33	mass; weight is an extensive property	nongold
34	metamorphic rock is a kind of rock	nongold
35	the  property of something is the same for the things of same kind	nongold
36	temperature changing does not cause mass to change	nongold
37	metamorphic is a kind of rock	nongold
38	intense means high in intensity	nongold
39	if something is copied then that something will be the same; similar; identical	nongold
40	different is the opposite of the same	nongold
41	if something undergoes physical change then the chemical properties of that something will remain unchanged	nongold
42	an increase is a kind of change	nongold
43	another means different	nongold
44	mass is a measure of the amount of matter in an object	nongold
45	limestone is a kind of sedimentary rock	nongold
46	a rock is usually a solid	nongold
47	if something undergoes a physical change then the physical properties of that something will change	nongold
48	extreme means very high in value	nongold
49	if something is not the same as something else then that something is different from that something else	nongold
50	limestone is formed by water evaporating from a solution of water and minerals	nongold
51	rock is made of minerals	nongold
52	Earth is made of rock	nongold
53	heat energy can change the state of matter	nongold
54	heat means heat energy	nongold
55	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
56	state of matter is a kind of physical property	nongold
57	rock is a kind of material	nongold
58	rock means stone	nongold
59	the crust of the Earth is similar to the surface of the Earth	nongold
60	crust is similar to surface	nongold
61	a physical property is a kind of property	nongold
62	identical is the opposite of different	nongold
63	temperature is a measure of heat energy	nongold
64	state of matter at room temperature is a kind of physical property	nongold
65	a quartz is made of six-sided transparent crystals	nongold
66	composition is a property of an object; matter	nongold
67	if two objects are similar , then the two objects share properties	nongold
68	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	gold
69	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
70	a decrease is a kind of change	nongold
71	the crust is a layer of the Earth	nongold
72	solid is a kind of state of matter	nongold
73	materials are made of matter	nongold
74	constant is similar to same	nongold
75	massive means great in mass	nongold
76	if solids are combined physically , then the physical properties of the solids will stay the same	nongold
77	high is similar to increase	nongold
78	the mass of an object causes the gravitational force exerted by that object	nongold
79	if the component of something changed , then the whole thing will change	nongold
80	if two things are made from the same objects; material then those two things are similar	nongold
81	mass is similar to size	nongold
82	to remain means to stay where it is	nongold
83	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
84	objects are made of materials; substances; matter	nongold
85	structure is a property of an object; a material; a substance	nongold
86	substances are made of matter	nongold
87	different substances are different in density	nongold
88	Earth is greater in mass than Mars	nongold
89	if something is insoluble in something , then they will remain separated	nongold
90	liquid is a kind of state of matter	nongold
91	an object has properties	nongold
92	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
93	changed is the opposite of unchanged	nongold
94	extreme heat and pressure compact sediment into sedimentary rock	nongold
95	similarity means the same property	nongold
96	the effects of something is a property of that something	nongold
97	metamorphosis is a kind of process	nongold
98	to retain means to not change	nongold
99	gneiss is a kind of metamorphic rock	nongold
