Question	What unit do scientists use to measure the distance between stars?	question
Answer	light-year	answer
0	a light-year is used for describing long distances	nongold
1	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	gold
2	light year is a measure of the distance light travels in one year	nongold
3	years are a kind of unit for measuring time	nongold
4	stars are located light years apart from each other	nongold
5	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
6	astronomical unit is a measure of distance between Earth and the Sun	nongold
7	the Sun is a kind of star	nongold
8	astronomy is the study of celestial (objects, bodies)	nongold
9	a scientist is a kind of human	nongold
10	a star is a kind of celestial object; celestial body	nongold
11	sunlight is a kind of light	nongold
12	the sun is a kind of yellow dwarf	nongold
13	1 year is equal to 365 days	nongold
14	a star is a source of light; light energy through nuclear reactions	nongold
15	a planet's distance from the star causes the length of a planetary year	nongold
16	a star produces light and heat	nongold
17	a galaxy is made of stars	nongold
18	a planet is a kind of celestial object; body	nongold
19	galaxies are usually thousands of light years in diameter	nongold
20	astronomy is a kind of branch of science	nongold
21	the sun is a source of light; light energy called sunlight	nongold
22	a star is usually larger than a planet	nongold
23	a meter is a kind of unit for measuring distance; measuring length	nongold
24	1 year is equal to 12 months	nongold
25	months are a kind of unit for measuring time	nongold
26	galaxies are located  millions of light years from Earth	nongold
27	yellow dwarf is a kind of small star	nongold
28	a yellow dwarf is a kind of main-sequence star	nongold
29	main-sequences stars are a kind of star	nongold
30	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
31	a galaxy is a kind of very large system of stars	nongold
32	astronomical body means celestial body	nongold
33	days are a kind of unit for measuring time	nongold
34	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
35	scientists make observations	nongold
36	a white dwarf is a kind of star	nongold
37	approximately means about	nongold
38	Earth is a kind of planet	nongold
39	light means light energy	nongold
40	a star's type is determined by the star's mass	nongold
41	meters;centimeters;kilometers are used to describe distance; describe length	nongold
42	hours are a kind of unit for measuring time	nongold
43	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
44	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
45	furthest; farthest means greatest; most; highest in distance	nongold
46	stellar means related to stars	nongold
47	decades are a kind of unit for measuring time	nongold
48	a physicist is a kind of scientist	nongold
49	miles are a kind of unit for measuring distance	nongold
50	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
51	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
52	the Sun is the  star that is closest to Earth	nongold
53	a galaxy is a kind of celestial body; celestial object	nongold
54	as the distance of a planet from the star  it orbits increases , the length of a planetary year on that planet will increase	nongold
55	length of time means period of time	nongold
56	Proxima Centauri is a kind of star	nongold
57	angstrom ( Å ) is a metric unit used for measuring wavelength; interatomic distance; length; distance	nongold
58	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
59	light is a kind of wave	nongold
60	greatest means largest; highest; most amount of something	nongold
61	answering questions requires information	nongold
62	seconds are a kind of unit for measuring time	nongold
63	planets orbit stars	nongold
64	to measure means to calculate	nongold
65	period is similar to amount of time	nongold
66	to be used for something means to be required by that something	nongold
67	a planet completes one orbit around its star over a period of one planetary year	nongold
68	Neptune has the longest solar year; planetary year in the solar system	nongold
69	month is a kind of period of time	nongold
70	a constellation contains stars	nongold
71	centuries are a kind of unit for measuring time	nongold
72	calculation means measurement	nongold
73	length is a measure of distance from one end of an object to the other end of that object	nongold
74	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
75	a measurement is a kind of data	nongold
76	the sun is average in size for a star in our galaxy	nongold
77	solar energy is a kind of light	nongold
78	form means kind	nongold
79	can be means able to be	nongold
80	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
81	seconds are used to measure time	nongold
82	stars make their own light	nongold
83	a galaxy contains dust; stars; planets	nongold
84	Mars is a kind of planet	nongold
85	yearly means every year	nongold
86	lowest means least in value; amount; number	nongold
87	measuring sometimes requires  recording; learning an amount	nongold
88	a type is synonymous with a kind	nongold
89	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
90	measuring is used for describing an object	nongold
91	light is a kind of energy	nongold
92	light is a kind of energy	nongold
93	minutes are a kind of unit for measuring time	nongold
94	unit is similar to part	nongold
95	a measure of time is a length of time	nongold
96	quantity means amount	nongold
97	a star requires energy	nongold
98	determining often requires measuring; observing	nongold
99	measuring is a kind of observing	nongold
