Question	A student stirred some sand into a container of water and left the mixture alone for several hours until the sand settled on the bottom of the container. Which statement best explains why the sand separated from the water?	question
Answer	Sand particles are denser than water.	answer
0	denser liquids; particles in liquids; materials settle below liquids or particles in liquids; materials that are less dense	gold
1	less dense liquids; particles in liquids; materials float liquids; particiles in liquids; materials that are more dense	nongold
2	denser means more dense	nongold
3	sand is denser than water	gold
4	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
5	dense means high in density	nongold
6	sand is made of small particles	nongold
7	a particle is a kind of object	nongold
8	sand in water settles to the bottom of water	nongold
9	solid water is less dense than liquid water	nongold
10	to disperse means to separate	nongold
11	as density decreases ability to break apart increases	nongold
12	sand  is a kind of solid	nongold
13	sand  is a kind of substance	nongold
14	sand  is a kind of mixture	nongold
15	if something is insoluble in something , then they will remain separated	gold
16	sand is made of very small rocks; minerals	gold
17	particles in objects are a kind of matter	nongold
18	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
19	if a medium is denser , then the medium will be another medium	nongold
20	particles in a liquid are close to each other	nongold
21	evaporation can be used for separating a mixture of a liquid and a solid	nongold
22	particles in a solid are closer together than particles in a liquid	nongold
23	separating is similar to breaking	nongold
24	sand is insoluble in water	gold
25	sand is insoluble in water	nongold
26	a molecule is a kind of particle	nongold
27	the bottom is the lowest part of something	nongold
28	if two objects move apart from each other then those two objects separate from each other	nongold
29	if an object in a fluid is more dense than that fluid then that object will sink in that fluid because of gravity	nongold
30	matter; materials; substances are made of atoms; particles	nongold
31	water is a kind of matter	nongold
32	particles in a liquid are closer together than particles in a gas	nongold
33	sand is always nonmagnetic	nongold
34	An example of a mixture is sand; clay; soil mixed together	nongold
35	sand is similar to soil	nongold
36	a mixture of solids can be easily separated	nongold
37	water is a kind of liquid at room temperature	nongold
38	if two objects are apart from each other then matter is between those two objects	nongold
39	decomposing is similar to separating	nongold
40	to decompose means to separate	nongold
41	sand  is a kind of material	nongold
42	a container is a kind of object	nongold
43	stirring is when something moves an object in a circular motion for mixing	nongold
44	an increase is a kind of change	nongold
45	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
46	a student is a kind of human	nongold
47	a container contains objects; material; substances	nongold
48	liquid is a kind of state of matter	nongold
49	particles in a solid are slower than particles in a liquid	nongold
50	a solid is more dense than a gas	nongold
51	pulling away is similar to separating	nongold
52	water is a kind of substance	nongold
53	separate is similar to break down	nongold
54	particles in a liquid are slower than particles in a gas	nongold
55	an increase is the opposite of a decrease	nongold
56	matter with variable shape changes shape in different container	nongold
57	gravel particles are bigger in size than sand particles	nongold
58	materials are made of matter	nongold
59	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
60	substances are made of matter	nongold
61	a rock is a kind of object	nongold
62	heat means heat energy	nongold
63	different substances are different in density	nongold
64	a decrease is a kind of change	nongold
65	a mixture usually is made of objects with different physical properties	nongold
66	objects are made of materials; substances; matter	nongold
67	the  arrangement of particles is different in different substances	nongold
68	break apart means break down	nongold
69	particles in a liquid flows past each other	nongold
70	if  two substances are made of different  elements , then the  substances will have different density	nongold
71	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
72	take apart means break down	nongold
73	temperature is a measure of heat energy	nongold
74	a landform is a kind of object	nongold
75	a mixture is a kind of substance	nongold
76	to lower means to decrease	nongold
77	high is similar to increase	nongold
78	a solution is a kind of mixture	nongold
79	water is a kind of object	nongold
80	low is similar to decrease	nongold
81	leave alone means not change	nongold
82	heat energy can change the state of matter	nongold
83	water is more dense than oil	nongold
84	to add means to increase	nongold
85	charged particles are a kind of high-energy particles	nongold
86	a liquid is a kind of substance	nongold
87	settling in a liquid is the opposite of staying suspended in a liquid	nongold
88	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
89	particles in a liquid have more kinetic energy than particles in a solid	nongold
90	solid is a kind of state of matter	nongold
91	density is a measure of mass of an object over volume; divided by volume	nongold
92	stirring is a kind of first-	nongold
93	transferring a section of something requires separating the section of something	nongold
94	to group means to separate	nongold
95	an mixture is formed by two or more substances combined together physically	nongold
96	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
97	particles in a solid have an orderly fixed position	nongold
98	when two substances together form a compound then those substances cannot be physically separated	nongold
99	Matter in the liquid phase has variable shape	nongold
