Question	Which statement best compares single-celled and multi-celled organisms?	question
Answer	Organelles in a single-celled organism are like the organs in a multi-celled organism.	answer
0	a single-celled organism's organelles are like the organs of a multi-celled organism	gold
1	a single-celled organism is a kind of living thing	nongold
2	a single-celled organism is a kind of organism	nongold
3	single-celled organism is made of only one cell	nongold
4	a multicellular organism is a kind of living thing	nongold
5	comparing requires measuring	nongold
6	an organism is a living thing	nongold
7	a single-cell organism cannot specialize	nongold
8	a living thing is made of cells	nongold
9	single means one	nongold
10	comparing requires observing that something	nongold
11	a multicellular organism contains more than one cell	nongold
12	an animal is a kind of living thing	nongold
13	a multicellular organism is made of many cells	nongold
14	a multicellular organism has more than one cell	nongold
15	an animal is a kind of organism	nongold
16	organs are made of different types of  cellular tissues	nongold
17	single-cell organism means unicellular organism	nongold
18	classifying requires comparing	nongold
19	all living things are made of cells according to the cell theory	nongold
20	cells are a smaller level of organization than tissues in living things	nongold
21	tissues are a smaller level of organization than organs in living things	nongold
22	an animal is a kind of eukaryote	nongold
23	a single-cell organism can survive without the help of other cells	nongold
24	a cell is very small	nongold
25	organs are a smaller level of organization than organ systems in living things	nongold
26	all cells perform cellular respiration	nongold
27	multicellular organisms produce more cells through cell division	nongold
28	fungi are sometimes single-celled organisms	nongold
29	an ecosystem contains a large community of; large numbers of living organisms	nongold
30	a worm is a kind of animal	nongold
31	a living thing is a kind of object	nongold
32	living things perform biological processes	nongold
33	a source of something emits; produces; generates; provides that something	nongold
34	the cells of multicellular organisms can specialize	nongold
35	a cell is a kind of object	nongold
36	life means living things	nongold
37	cells are a part of the body	nongold
38	organisms mean life	nongold
39	a kind of something is an example of that something	nongold
40	best means most positive	nongold
41	species means a group of like organisms	nongold
42	living things are made of organic molecules	nongold
43	an animal; living thing requires nutrients for survival	nongold
44	a plant is a kind of organism	nongold
45	a bacterium is a kind of organism	nongold
46	the body is a part of an organism	nongold
47	an animal cell is a kind of cell	nongold
48	a plant is a kind of living thing	nongold
49	a fungus is a kind of organism	nongold
50	classifying means grouping objects; materials by their properties	nongold
51	nutrients are a kind of matter	nongold
52	can be means able to be	nongold
53	if a living thing requires something then that something has a positive impact on that living thing	nongold
54	a plant is made of plant cells	nongold
55	a food contains nutrients for living things	nongold
56	a worm is a kind of living thing	nongold
57	a protozoan is a kind of animal	nongold
58	a part of a living thing is a natural structure	nongold
59	classifying is when one sorts something by kind; type	nongold
60	a plant cell is a kind of cell	nongold
61	a mitochondrion is a kind of cellular organelle	nongold
62	a cell nucleus is a part of a cell	nongold
63	a cell absorbs nutrients	nongold
64	organ system means body system	nongold
65	an amoeba is a kind of single-celled organism	nongold
66	phytoplankton is a kind of plant	nongold
67	the nucleus is a kind of cell organelle	nongold
68	tissue is a kind of group of cells with a common structure that work together to perform a similar function	nongold
69	organisms are made of carbon	nongold
70	a component of something means a part of that something	nongold
71	an ecosystem contains nonliving things	nongold
72	if something is made of something else then that something can be broken down into that something else	nongold
73	a body cell means a somatic cell	nongold
74	a fungus is a kind of living thing	nongold
75	an organ system is made of different parts of the body working together	nongold
76	basic life functions occur in the cells of organisms	nongold
77	a plant cell is box-like in shape	nongold
78	a lysosome is a kind of organelle	nongold
79	bacteria is a kind of living thing	nongold
80	a structure of something is synonymous with a part of that something	nongold
81	organisms are a part of an environment	nongold
82	an environment is similar to an ecosystem	nongold
83	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
84	composed of means made of	nongold
85	cell activity means cell process	nongold
86	biotic means living	nongold
87	a kidney is a kind of organ in an animal	nongold
88	the body of an animal contains arteries; veins	nongold
89	a plant cell contains chloroplasts	nongold
90	to create means to make	nongold
91	the parent cell is the original cell	nongold
92	to produce means to create	nongold
93	a role in the ecosystem is a role in the food chain process	nongold
94	a body system is a part of the body; an animal	nongold
95	an animal; bacterium requires oxygen for survival; to breathe	nongold
96	if something is made of something else , then that something else will be the component of that something	nongold
97	a producer is a kind of living thing	nongold
98	an organism is made of organic matter	nongold
99	living things eat their food source	nongold
