Question	One key physical process in beach formation is wave action. Sand is deposited on beaches as waves break onto the shoreline and the energy from the wave scatters. Which type of energy is most used by wave action to modify the shape of the beaches?	question
Answer	mechanical	answer
0	wave action changes the shape of the beach by mechanical energy	gold
1	the surface of a beach is formed by mechanical weathering	nongold
2	sand is a part of a beach	nongold
3	sand dunes; arches are formed by the wind transporting and depositing sand	nongold
4	a beach is usually part of an island	nongold
5	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
6	sand dunes are made of sand	nongold
7	coastline means coast	nongold
8	sand  is a kind of substance	nongold
9	a beach is a kind of location	nongold
10	a beach is a kind of habitat; environment	nongold
11	a type is synonymous with a kind	nongold
12	mechanical energy is a kind of energy	gold
13	a shore is the land found at the edge of a body of water	nongold
14	an ocean is a kind of body of water	nongold
15	An example of mechanical energy is an object in motion	nongold
16	waves are made of moving water	nongold
17	kinetic energy is a kind of mechanical energy	nongold
18	a sand dune is a kind of land formation	nongold
19	a wave is formed by the vibration of the source spreading around from the source	nongold
20	to be used for something means to be required by that something	nongold
21	waves contain mechanical energy	gold
22	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
23	sand is made of small particles	nongold
24	sand  is a kind of material	nongold
25	ocean wave is a kind of wave	gold
26	mechanical energy is used to move something by animals	nongold
27	sand is made of very small rocks; minerals	nongold
28	surfaces sometimes cause objects to break	nongold
29	mechanical energy can  cause objects to move	nongold
30	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
31	to modify means to change	gold
32	a coast is a kind of environment	nongold
33	a coast is where land meets the edge of a body of water	nongold
34	a body of water meets land at a beach	nongold
35	an object; material; substance comes from that object or material's source	nongold
36	sand is similar to soil	nongold
37	motion is a source of kinetic energy in an object	nongold
38	a wave is a kind of object	nongold
39	landform means surface feature; physical feature; land feature	nongold
40	an ocean contains waves	nongold
41	mechanical weathering is when rocks are broken down by mechanical means	nongold
42	a motion is a kind of event; action	nongold
43	sand  is a kind of solid	nongold
44	forming is a kind of action	nongold
45	a landform is a kind of object	nongold
46	motion; movement means moving; to move	nongold
47	surface area is a property of shape	nongold
48	sand has a rough surface	nongold
49	a surface is a kind of object	nongold
50	mechanical force is a kind of mechanical energy	nongold
51	if something comes from something else then that something else is a source of that something	nongold
52	mechanical weathering is a kind of weathering	nongold
53	a surface is a part of an object	nongold
54	a vibration is similar to a wave	nongold
55	a landform is a kind of natural formation	nongold
56	a rock is a kind of object	nongold
57	an island is a kind of landform	nongold
58	the formation of something is a kind of process	nongold
59	where something  comes from is a source of that something	nongold
60	mechanical energy exerted by an object can be used to push or pull another object	nongold
61	a source of something emits; produces; generates; provides that something	nongold
62	erosion is a kind of process	nongold
63	land is a kind of landform	nongold
64	the formation of rock is a kind of process	nongold
65	water is a kind of object	nongold
66	vibration is a kind of motion	nongold
67	longitudinal wave is a kind of mechanical wave	nongold
68	sea means ocean	nongold
69	structure is similar to shape	nongold
70	motion is when moves an object; something to a direction	nongold
71	all waves transfer; transmit energy from one place to another	nongold
72	shape is a kind of physical property	nongold
73	action can cause change	nongold
74	erosion is a kind of change	nongold
75	to cause the formation of means to form	nongold
76	shape is a property of an object	nongold
77	a surface is a part of a material	nongold
78	breaking down is a kind of forming	nongold
79	action means activity	nongold
80	sand in water settles to the bottom of water	nongold
81	an event is a kind of action	nongold
82	sediment is a kind of matter	nongold
83	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
84	form means kind	nongold
85	if something causes a process then that something is required for that process	nongold
86	water is a kind of matter	nongold
87	An example of a physical change is breaking an object	nongold
88	movement is a kind of change	nongold
89	having an impact on something means altering that something	nongold
90	a coast is a coastal area	nongold
91	marine is similar to water	nongold
92	heat is a kind of energy	nongold
93	absorbance is when a wave absorbs at; stops at a surface	nongold
94	the function of something is what that something  is used to do	nongold
95	if something is made of something else then the formation of that something requires that something else	nongold
96	energy transformation means one kind of energy changes into another kind of energy	nongold
97	if something releases something else then that something is the source of that something else	nongold
98	breaking down into pieces is a kind of change in shape	nongold
99	variable means able to change	nongold
